V1,V2
AT1G02320,AT1G04103
AT1G03420,AT1G04183
AT1G04480,AT1G04267
AT1G04480,AT1G04273
AT1G04480,AT1G04277
AT1G05220,AT1G04353
AT1G06790,AT1G04513
AT1G07010,AT1G04537
AT1G07130,AT1G07119
AT1G08310,AT1G04647
AT1G12140,AT1G04933
AT1G12890,AT1G04983
AT1G15085,AT1G05153
AT1G20065,AT1G05523
AT1G22800,AT1G05767
AT1G23985,AT1G05843
AT1G25112,AT1G25098
AT1G25180,AT1G25175
AT1G27400,AT1G06087
AT1G29418,AT1G06243
AT1G29418,AT1G06247
AT1G29418,AT1G06253
AT1G29465,AT1G06263
AT1G29465,AT1G06267
AT1G29465,AT1G06273
AT1G29465,AT1G06277
AT1G29465,AT1G06283
AT1G31950,AT1G06487
AT1G32575,AT1G06593
AT1G48460,AT1G07487
AT1G51402,AT1G07737
AT1G53490,AT1G07887
AT1G53542,AT1G07903
AT1G54270,AT1G07957
AT1G54940,AT1G08007
AT1G54953,AT1G08023
AT1G55650,AT1G08063
AT1G60130,AT1G08307
AT1G62170,AT1G08477
AT1G67430,AT1G08937
AT1G68760,AT1G68770
AT1G68935,AT1G09023
AT1G68937,AT1G09023
AT1G69620,AT1G09083
AT1G69620,AT1G09087
AT1G71697,AT1G71700
AT1G72645,AT1G09333
AT1G74410,AT1G09453
AT1G76770,AT1G09667
AT1G79990,AT1G09947
AT1G01760,AT1G04053
AT1G01880,AT1G01890
AT1G02430,AT1G04117
AT1G04895,AT1G04293
AT1G06925,AT1G04533
AT1G09800,AT1G04733
AT1G11100,AT1G04837
AT1G11780,AT1G04887
AT1G15960,AT1G05213
AT1G17820,AT1G05333
AT1G17870,AT1G05347
AT1G23995,AT1G05847
AT1G26230,AT1G26218
AT1G26880,AT1G06033
AT1G27580,AT1G06103
AT1G29775,AT1G29785
AT1G30970,AT1G06397
AT1G31835,AT1G06453
AT1G31860,AT1G06457
AT1G31860,AT1G06463
AT1G31860,AT1G06467
AT1G32610,AT1G32620
AT1G33640,AT1G33615
AT1G49005,AT1G07527
AT1G49940,AT1G49938
AT1G50910,AT1G07693
AT1G55270,AT1G08043
AT1G62085,AT1G08457
AT1G62700,AT1G08553
AT1G62850,AT1G08577
AT1G63990,AT1G08647
AT1G64633,AT1G08723
AT1G68300,AT1G08973
AT1G74200,AT1G74205
AT1G74530,AT1G09477
AT1G74560,AT1G09487
AT1G75450,AT1G09553
AT1G79520,AT1G09873
AT1G79520,AT1G09877
AT1G79520,AT1G09883
AT1G80315,AT1G80325
AT1G80330,AT1G80325
AT2G01021,AT2G01020
AT2G01280,AT2G03925
AT2G01400,AT2G03975
AT2G07636,AT2G05245
AT2G07806,AT2G05355
AT2G07795,AT2G07759
AT2G18080,AT2G07035
AT2G19960,AT2G07255
AT2G20495,AT2G07305
AT2G30380,AT2G08380
AT2G31910,AT2G08485
AT2G34110,AT2G08650
AT2G34380,AT2G08660
AT2G34410,AT2G08665
AT2G35215,AT2G08720
AT2G36145,AT2G36140
AT2G36815,AT2G08830
AT2G37250,AT2G08860
AT2G38600,AT2G08970
AT2G39355,AT2G09040
AT2G42240,AT2G42247
AT2G43110,AT2G43137
AT2G43110,AT2G43138
AT2G43110,AT2G43139
AT2G43110,AT2G43141
AT2G47170,AT2G09815
AT2G47890,AT2G47895
AT2G07774,AT2G07754
AT2G07706,AT2G07794
AT2G07815,AT2G07756
AT2G12430,AT2G05725
AT2G13760,AT2G06065
AT2G17975,AT2G07015
AT2G24320,AT2G08000
AT2G29530,AT2G08345
AT2G34920,AT2G08705
AT2G35750,AT2G35747
AT2G35750,AT2G08770
AT2G45540,AT2G09640
AT2G46567,AT2G46572
AT3G01475,AT3G01035
AT3G07590,AT3G02025
AT3G07860,AT3G02045
AT3G11400,AT3G02385
AT3G13857,AT3G13855
AT3G19050,AT3G03795
AT3G24575,AT3G04755
AT3G26820,AT3G05115
AT3G28370,AT3G05495
AT3G45740,AT3G07265
AT3G52526,AT3G52535
AT3G52590,AT3G08275
AT3G55665,AT3G08575
AT3G56740,AT3G08695
AT3G57660,AT3G08945
AT3G62080,AT3G09745
AT3G04990,AT3G01535
AT3G05935,AT3G05932
AT3G09440,AT3G02205
AT3G12587,AT3G12585
AT3G13920,AT3G02795
AT3G24517,AT3G24518
AT3G27185,AT3G05195
AT3G27473,AT3G05245
AT3G47090,AT3G07635
AT3G51800,AT3G08210
AT3G52060,AT3G52072
AT3G52075,AT3G52072
AT3G56820,AT3G56825
AT3G56830,AT3G56825
AT3G57800,AT3G09005
AT3G59710,AT3G09225
AT4G01570,AT4G03895
AT4G03410,AT4G03405
AT4G23420,AT4G07120
AT4G25630,AT4G25631
AT4G29760,AT4G08215
AT4G30993,AT4G08425
AT4G31980,AT4G08615
AT4G31980,AT4G08625
AT4G33310,AT4G08785
AT4G34330,AT4G08975
AT4G36490,AT4G09335
AT4G36960,AT4G09475
AT4G02670,AT4G04235
AT4G08340,AT4G08345
AT4G10760,AT4G05815
AT4G16920,AT4G06440
AT4G17390,AT4G06705
AT4G18400,AT4G06780
AT4G18840,AT4G06850
AT4G21490,AT4G07010
AT4G24030,AT4G24025
AT4G24810,AT4G07285
AT4G25640,AT4G25635
AT4G29410,AT4G08125
AT4G29410,AT4G08155
AT4G29410,AT4G08165
AT4G29410,AT4G08175
AT4G29860,AT4G08235
AT4G30680,AT4G08325
AT4G38260,AT4G09695
AT5G01480,AT5G00775
AT5G01570,AT5G00780
AT5G02140,AT5G00820
AT5G06000,AT5G01135
AT5G06000,AT5G01145
AT5G07630,AT5G07625
AT5G08141,AT5G01485
AT5G10280,AT5G10278
AT5G10540,AT5G01765
AT5G14340,AT5G02215
AT5G15853,AT5G15845
AT5G17450,AT5G02735
AT5G18580,AT5G02915
AT5G20935,AT5G03255
AT5G20995,AT5G03275
AT5G22796,AT5G03485
AT5G22796,AT5G03515
AT5G22799,AT5G03515
AT5G23150,AT5G23155
AT5G27720,AT5G04425
AT5G38747,AT5G05805
AT5G41010,AT5G06115
AT5G42880,AT5G06415
AT5G43730,AT5G43725
AT5G45030,AT5G06695
AT5G45469,AT5G45472
AT5G45490,AT5G45472
AT5G46430,AT5G06825
AT5G46510,AT5G06835
AT5G49150,AT5G49152
AT5G49290,AT5G07355
AT5G49780,AT5G07465
AT5G52470,AT5G52471
AT5G56555,AT5G08595
AT5G57870,AT5G08805
AT5G57880,AT5G57885
AT5G58120,AT5G08820
AT5G62420,AT5G09065
AT5G64800,AT5G09265
AT5G65540,AT5G09395
AT5G01350,AT5G00760
AT5G01350,AT5G00765
AT5G08180,AT5G01495
AT5G08180,AT5G01505
AT5G08180,AT5G01515
AT5G10700,AT5G01815
AT5G11210,AT5G01865
AT5G22090,AT5G03385
AT5G24630,AT5G03805
AT5G25756,AT5G04065
AT5G27860,AT5G04545
AT5G28920,AT5G04905
AT5G32670,AT5G05055
AT5G39530,AT5G39535
AT5G39680,AT5G05995
AT5G41850,AT5G06235
AT5G41870,AT5G06235
AT5G44930,AT5G06665
AT5G45720,AT5G45715
AT5G46980,AT5G06915
AT5G48710,AT5G07205
AT5G49570,AT5G07405
AT5G49570,AT5G07415
AT5G52110,AT5G07885
AT5G56620,AT5G08605
AT5G56960,AT5G08675
AT5G57890,AT5G08810
AT5G59270,AT5G08905
AT5G61460,AT5G61455
AT5G64010,AT5G09175
AT5G65860,AT5G09495
AT5G66290,AT5G09595
ATMG01060,ATMG01070
ATCG00040,ATCG00030
