
#convergent gene pairs who product long noncoding RNA
V1,V2
AT1G01040,AT1G03993
AT1G01160,AT1G04007
AT1G02420,AT1G04117
AT1G04900,AT1G04297
AT1G05200,AT1G04343
AT1G05835,AT1G04433
AT1G06450,AT1G04463
AT1G06560,AT1G04483
AT1G08120,AT1G04643
AT1G09610,AT1G04707
AT1G09650,AT1G04713
AT1G09850,AT1G04737
AT1G11090,AT1G04837
AT1G11770,AT1G04887
AT1G11890,AT1G04913
AT1G12810,AT1G04973
AT1G17860,AT1G05347
AT1G21880,AT1G05687
AT1G22050,AT1G05703
AT1G22250,AT1G05733
AT1G23820,AT1G05833
AT1G26090,AT1G05973
AT1G26700,AT1G06007
AT1G28680,AT1G28685
AT1G32460,AT1G06573
AT1G34630,AT1G06787
AT1G49720,AT1G07587
AT1G50010,AT1G07603
AT1G50900,AT1G07693
AT1G60420,AT1G08317
AT1G60670,AT1G08333
AT1G62790,AT1G08563
AT1G67035,AT1G08877
AT1G71480,AT1G09253
AT1G72530,AT1G09317
AT1G73100,AT1G09367
AT1G73440,AT1G09383
AT1G74900,AT1G09517
AT1G75170,AT1G09537
AT1G75440,AT1G09553
AT1G76750,AT1G09657
AT1G76780,AT1G09673
AT1G80320,AT1G80325
AT1G80890,AT1G09993
AT2G03680,AT2G04545
AT2G15318,AT2G06405
AT2G22000,AT2G07485
AT2G23740,AT2G07950
AT2G24350,AT2G08020
AT2G25170,AT2G08120
AT2G33620,AT2G08595
AT2G33810,AT2G33815
AT2G34910,AT2G08695
AT2G35860,AT2G35859
AT2G40720,AT2G09175
AT2G40765,AT2G09190
AT2G41705,AT2G09300
AT2G42150,AT2G09335
AT2G43310,AT2G09435
AT2G43840,AT2G09505
AT2G44850,AT2G09560
AT2G44880,AT2G09570
AT2G45720,AT2G09660
AT2G46225,AT2G09710
AT2G47170,AT2G09805
AT2G47380,AT2G09885
AT2G47550,AT2G09925
AT3G02840,AT3G01165
AT3G02910,AT3G01205
AT3G04790,AT3G01505
AT3G05010,AT3G01545
AT3G09690,AT3G02215
AT3G10140,AT3G02275
AT3G10220,AT3G02295
AT3G13770,AT3G02755
AT3G14100,AT3G02845
AT3G15190,AT3G03025
AT3G15518,AT3G03125
AT3G19290,AT3G03815
AT3G21200,AT3G04055
AT3G21810,AT3G04185
AT3G24330,AT3G24332
AT3G26470,AT3G05015
AT3G26680,AT3G05075
AT3G27170,AT3G05145
AT3G27475,AT3G05245
AT3G27750,AT3G05285
AT3G28880,AT3G05575
AT3G43840,AT3G06685
AT3G45290,AT3G07105
AT3G46220,AT3G07355
AT3G46290,AT3G07375
AT3G46990,AT3G07615
AT3G48320,AT3G07925
AT3G51970,AT3G08215
AT3G52030,AT3G08220
AT3G52105,AT3G08230
AT3G52120,AT3G08240
AT3G54080,AT3G08365
AT3G55310,AT3G08470
AT3G56450,AT3G08655
AT3G57040,AT3G08825
AT3G57770,AT3G57765
AT3G57970,AT3G57965
AT3G58540,AT3G09135
AT3G58710,AT3G09145
AT3G59940,AT3G09275
AT3G59970,AT3G09305
AT3G60910,AT3G09495
AT3G63400,AT3G09955
AT3G63490,AT3G09985
AT4G00525,AT4G03655
AT4G00580,AT4G03665
AT4G00660,AT4G03705
AT4G03140,AT4G04435
AT4G03180,AT4G04445
AT4G10750,AT4G05815
AT4G11660,AT4G05910
AT4G13270,AT4G06060
AT4G15800,AT4G06335
AT4G15820,AT4G06340
AT4G16400,AT4G06395
AT4G18395,AT4G06780
AT4G18830,AT4G06850
AT4G21180,AT4G06985
AT4G21550,AT4G07020
AT4G22270,AT4G22265
AT4G23610,AT4G07165
AT4G24510,AT4G07275
AT4G29830,AT4G08225
AT4G31400,AT4G31398
AT4G31850,AT4G08575
AT4G33630,AT4G08795
AT4G34120,AT4G08925
AT4G35540,AT4G09165
AT4G35630,AT4G09225
AT4G37430,AT4G37432
AT4G38250,AT4G09695
AT4G38560,AT4G09715
AT5G02140,AT5G00815
AT5G02590,AT5G00870
AT5G05190,AT5G01005
AT5G07240,AT5G01375
AT5G10695,AT5G01815
AT5G14120,AT5G02155
AT5G15440,AT5G02415
AT5G16030,AT5G02515
AT5G17410,AT5G02705
AT5G17630,AT5G02755
AT5G18470,AT5G02895
AT5G18580,AT5G02905
AT5G20900,AT5G03235
AT5G24620,AT5G03805
AT5G25080,AT5G03875
AT5G40440,AT5G06055
AT5G48730,AT5G07265
AT5G52210,AT5G07895
AT5G53360,AT5G07975
AT5G54680,AT5G08235
AT5G64816,AT5G09275
