up_lncRNA,mRNA
AT1G04983,AT1G12890
AT1G08307,AT1G60130
AT1G09667,AT1G76770
AT1G05847,AT1G23995
AT1G07527,AT1G49005
AT1G08553,AT1G62700
AT1G09477,AT1G74530
AT2G07035,AT2G18080
AT2G08380,AT2G30380
AT2G08485,AT2G31910
AT2G08970,AT2G38600
AT2G09040,AT2G39355
AT2G06065,AT2G13760
AT2G08705,AT2G34920
AT3G03795,AT3G19050
AT3G05495,AT3G28370
AT3G05195,AT3G27185
AT3G05245,AT3G27473
AT4G08215,AT4G29760
AT4G08975,AT4G34330
AT4G04235,AT4G02670
AT4G06440,AT4G16920
AT4G07010,AT4G21490
AT5G02215,AT5G14340
AT5G02735,AT5G17450
AT5G03485,AT5G22796
AT5G03515,AT5G22799
AT5G05805,AT5G38747
AT5G06415,AT5G42880
AT5G07355,AT5G49290
AT5G07465,AT5G49780
AT5G08595,AT5G56555
AT5G01865,AT5G11210
AT5G03385,AT5G22090
AT5G04065,AT5G25756
AT5G07205,AT5G48710
AT5G08605,AT5G56620
AT5G08675,AT5G56960
AT1G07119,AT1G07130
AT1G25098,AT1G25112
AT1G29785,AT1G29775
AT1G74205,AT1G74200
AT3G01035,AT3G01475
AT3G04755,AT3G24575
AT3G52072,AT3G52060
AT5G06235,AT5G41850
