id1	id2	cor	p.value	variance1	variance2
AT5G06695	AT5G45030	1	0	7614.3859942874	7614.3859942874
AT1G05333	AT1G17820	0.999963263470825	2.44369011054363e-293	3219.39761646804	3213.2619915296
AT1G05767	AT1G22800	0.999916999364719	2.20383923551633e-268	1548.7024524771	1544.62868117798
AT1G04183	AT1G03420	0.998992811249931	5.66891496721221e-192	1102.02639613907	1172.15039889688
AT3G05932	AT3G05935	0.995787120883831	3.30551993525886e-148	2855.64404609475	1982.432581503
AT1G05347	AT1G17870	0.970360032958613	7.4521655279874e-89	447.513641288289	4942.40638235004
AT1G09023	AT1G68935	0.911969552487301	2.02766551024039e-56	1931.00581109032	84.1044026396139
AT1G08043	AT1G55270	0.901684806591596	3.38713024352089e-53	515.082438688072	7923.54476509406
AT5G06665	AT5G44930	0.883341771743127	3.01730360268153e-48	103.09534127844	764.63173446272
AT2G08345	AT2G29530	0.863718351949758	8.48799760861148e-44	199.468137496306	2037.90584063824
AT1G09023	AT1G68937	0.853149137052491	1.11399157787468e-41	1931.00581109032	60.9712400275781
AT1G09487	AT1G74560	0.846520565049751	1.95990915172717e-40	1526.6306510391	35320.907121048
AT4G09695	AT4G38260	0.807725166837874	3.6480450025113e-34	83.3872746971338	1774.61410420565
AT2G07305	AT2G20495	0.766462387830604	6.76050026908201e-29	34.6547818378804	361.380774155422
AT5G06235	AT5G41850	0.76276377913965	1.77402385706387e-28	237.487639121442	465.899340096523
AT3G52535	AT3G52526	0.741102543201898	3.61284503966465e-26	184.488033093667	647.856003151778
AT5G09175	AT5G64010	0.738422196876272	6.72305484656857e-26	91.3352703634394	218.201615286122
AT5G09395	AT5G65540	0.715301393281067	1.05775848549515e-23	49.604845858367	2083.01083423619
AT5G09595	AT5G66290	0.70952227971644	3.46555823172737e-23	10.8768836797006	765.724219442529
AT3G09745	AT3G62080	0.698383777337994	3.15075505822696e-22	52.769723234512	1035.62887816409
AT2G09640	AT2G45540	0.692685229134033	9.37660894349471e-22	546.611543386191	149937.600019699
AT2G08660	AT2G34380	0.685946352410729	3.29740156530655e-21	15.0228503890476	381.5295971634
AT3G52072	AT3G52060	0.675282351420725	2.25368902735105e-20	186.840539741948	95959.0680587019
AT5G00780	AT5G01570	0.651444888179418	1.25375042718964e-18	10.8986506451295	8.80261991529597
AT1G08973	AT1G68300	0.644714844152425	3.65673083485916e-18	143.63961390722	2849.16448340392
AT5G07885	AT5G52110	0.63514936876504	1.60035317105866e-17	54.1521717718901	381.261991529597
AT4G06780	AT4G18400	0.629102539717296	3.96350149319789e-17	5.45986407958239	115.661282379592
AT2G03975	AT2G01400	0.620243210329305	1.44482029306508e-16	54.837584950261	1066.50467842017
AT5G04065	AT5G25756	0.613822692349782	3.59691895578925e-16	19.8606323254211	24.0166453265045
AT1G04053	AT1G01760	0.583588534437751	2.02251617658449e-14	18.0983945631833	125.345021176007
AT1G09453	AT1G74410	0.577761247006065	4.19471242895288e-14	23.9105683049345	1229.81365113759
AT2G42247	AT2G42240	0.551457584106324	9.49870924762733e-13	720.358022259431	631.994681374963
AT1G26218	AT1G26230	0.526424047020544	1.45111414614615e-11	39.0683541810302	1608.62415049739
AT5G06235	AT5G41870	0.438694803237257	4.24415319559994e-08	237.487639121442	3717.51620210775
AT1G04933	AT1G12140	0.425375181803097	1.1846320573106e-07	32.9224859647395	11481.1521717719
AT5G03255	AT5G20935	0.364276811803737	7.72959207899984e-06	8.87373190190092	149.994385895794
AT1G07119	AT1G07130	0.362540821487995	8.6012118542244e-06	98.0965231951147	152.946222791293
AT5G45472	AT5G45490	0.318570818865133	0.000105473554988995	2727.67428346302	14058.2939032798
