V1,V2
AT1G02590,AT1G02600
AT1G28710,AT1G28720
AT1G28765,AT1G28930
AT1G28765,AT1G28940
AT1G28765,AT1G28950
AT1G45229,AT1G45234
AT1G45229,AT1G45238
AT1G45229,AT1G45240
AT1G80420,AT1G80430
AT1G43830,AT1G43820
AT1G53400,AT1G53410
AT2G07739,AT2G07763
AT2G07662,AT2G07765
AT2G33655,AT2G33650
AT2G33980,AT2G33890
AT2G33980,AT2G33900
AT2G33980,AT2G33910
AT2G33980,AT2G33920
AT2G33980,AT2G33930
AT2G33980,AT2G33940
AT2G33980,AT2G33950
AT2G33980,AT2G33960
AT2G33980,AT2G33970
AT2G07683,AT2G07752
AT2G07683,AT2G07753
AT3G49920,AT3G49925
AT3G50840,AT3G50835
AT3G05520,AT3G05525
AT3G07060,AT3G07055
AT3G51140,AT3G51135
AT3G52340,AT3G52345
AT4G23640,AT4G23635
AT4G12070,AT4G12065
AT4G20110,AT4G20115
AT4G22270,AT4G22265
AT4G26380,AT4G26385
AT5G02720,AT5G02725
AT5G13840,AT5G13845
AT5G67460,AT5G67455
AT5G27710,AT5G27715
AT5G46110,AT5G46105
AT5G55050,AT5G55045
ATMG00370,ATMG00360
AT1G64580,AT1G64572
AT1G11591,AT1G11592
AT1G23050,AT1G23052
AT1G33600,AT1G06677
AT1G33612,AT1G33615
AT1G50660,AT1G50659
AT1G68870,AT1G68872
AT1G69600,AT1G09073
AT2G24740,AT2G24735
AT2G41060,AT2G09215
AT2G41070,AT2G09215
AT2G45243,AT2G45245
AT3G27185,AT3G05185
AT3G41762,AT3G41761
AT3G48120,AT3G48115
AT4G30970,AT4G30975
AT4G03040,AT4G03038
AT4G12040,AT4G05940
AT4G15245,AT4G15242
AT4G40063,AT4G40065
AT5G44566,AT5G44569
AT5G45480,AT5G45475
AT5G23411,AT5G23410
AT5G47130,AT5G06955
AT5G56510,AT5G08575
AT1G16820,AT1G05273
AT1G65120,AT1G08737
AT1G68400,AT1G08987
AT1G70200,AT1G09143
AT1G49250,AT1G07537
AT1G53470,AT1G07883
AT1G79560,AT1G09893
AT2G15550,AT2G06455
AT2G20430,AT2G07295
AT3G05700,AT3G01715
AT3G06895,AT3G06900
AT3G25450,AT3G04905
AT3G55880,AT3G08605
AT3G56870,AT3G08735
AT3G57770,AT3G57765
AT5G63060,AT5G09140
AT5G40400,AT5G40395
AT5G40440,AT5G06055
AT5G49110,AT5G07335
AT5G49110,AT5G07345
AT5G53770,AT5G08025
AT1G16820,AT1G05273
AT1G65120,AT1G08737
AT1G68400,AT1G08987
AT1G70200,AT1G09143
AT1G49250,AT1G07537
AT1G53470,AT1G07883
AT1G79560,AT1G09893
AT2G15550,AT2G06455
AT2G20430,AT2G07295
AT3G05700,AT3G01715
AT3G06895,AT3G06900
AT3G25450,AT3G04905
AT3G55880,AT3G08605
AT3G56870,AT3G08735
AT3G57770,AT3G57765
AT5G63060,AT5G09140
AT5G40400,AT5G40395
AT5G40440,AT5G06055
AT5G49110,AT5G07335
AT5G49110,AT5G07345
AT5G53770,AT5G08025
AT1G03660,AT1G04203
AT1G05575,AT1G04397
AT1G05783,AT1G04427
AT1G06710,AT1G04493
AT1G06710,AT1G04497
AT1G07060,AT1G04557
AT1G07540,AT1G04593
AT1G09880,AT1G04747
AT1G14460,AT1G05093
AT1G14660,AT1G05113
AT1G16480,AT1G05227
AT1G17920,AT1G05357
AT1G20840,AT1G05607
AT1G22060,AT1G05707
AT1G23995,AT1G05843
AT1G29535,AT1G06287
AT1G31255,AT1G06427
AT1G32750,AT1G06613
AT1G35830,AT1G06937
AT1G43605,AT1G07167
AT1G43605,AT1G07173
AT1G62310,AT1G08513
AT1G63350,AT1G08607
AT1G68800,AT1G09013
AT1G68877,AT1G09017
AT1G69550,AT1G09067
AT1G69980,AT1G09127
AT1G71710,AT1G09263
AT1G72080,AT1G09303
AT1G72560,AT1G09323
AT1G74180,AT1G09423
AT1G74660,AT1G09493
AT1G74660,AT1G09497
AT1G76760,AT1G09667
AT1G77860,AT1G09763
AT1G79540,AT1G09887
AT1G01210,AT1G04017
AT1G01220,AT1G04023
AT1G02620,AT1G04133
AT1G03165,AT1G04173
AT1G05005,AT1G04307
AT1G05035,AT1G04313
AT1G08620,AT1G04657
AT1G09650,AT1G04713
AT1G11400,AT1G04847
AT1G11410,AT1G04847
AT1G11720,AT1G04873
AT1G17360,AT1G05303
AT1G17750,AT1G05323
AT1G18860,AT1G05447
AT1G19290,AT1G05493
AT1G20460,AT1G05553
AT1G25250,AT1G05943
AT1G26700,AT1G06007
AT1G28815,AT1G28715
AT1G31095,AT1G06407
AT1G32370,AT1G06543
AT1G32375,AT1G06543
AT1G32950,AT1G06637
AT1G34460,AT1G06757
AT1G50950,AT1G07707
AT1G54953,AT1G08017
AT1G61810,AT1G08433
AT1G61810,AT1G08437
AT1G62950,AT1G08583
AT1G64253,AT1G08663
AT1G64540,AT1G08703
AT1G66930,AT1G08867
AT1G67035,AT1G08877
AT1G68680,AT1G09007
AT1G72530,AT1G09317
AT1G72950,AT1G09357
AT1G75920,AT1G09603
AT1G78040,AT1G09773
AT1G80520,AT1G09977
AT1G80960,AT1G09997
AT2G02010,AT2G04155
AT2G02635,AT2G04265
AT2G02950,AT2G04465
AT2G10455,AT2G05535
AT2G13105,AT2G05865
AT2G13275,AT2G05875
AT2G16016,AT2G06535
AT2G16510,AT2G06655
AT2G21455,AT2G07415
AT2G28170,AT2G08240
AT2G31900,AT2G08485
AT2G32660,AT2G08535
AT2G34850,AT2G08690
AT2G35890,AT2G08775
AT2G36480,AT2G08800
AT2G36590,AT2G08805
AT2G40715,AT2G09165
AT2G40715,AT2G09170
AT2G43140,AT2G09420
AT2G45540,AT2G09650
AT2G46950,AT2G09765
AT2G46980,AT2G09770
AT2G47000,AT2G09775
AT2G47750,AT2G09955
AT2G47760,AT2G09965
AT2G01379,AT2G03945
AT2G03140,AT2G04485
AT2G03965,AT2G04655
AT2G05105,AT2G04855
AT2G05655,AT2G04945
AT2G06845,AT2G05015
AT2G07680,AT2G05405
AT2G10615,AT2G05575
AT2G10615,AT2G05585
AT2G14247,AT2G06085
AT2G15318,AT2G06405
AT2G26780,AT2G08180
AT2G28250,AT2G08255
AT2G28260,AT2G08260
AT2G28990,AT2G08310
AT2G30410,AT2G08385
AT2G31910,AT2G08490
AT2G31960,AT2G08500
AT2G33280,AT2G08560
AT2G33290,AT2G08565
AT2G38890,AT2G08980
AT2G39500,AT2G09055
AT2G40004,AT2G09105
AT2G40130,AT2G09115
AT2G41090,AT2G09220
AT2G41100,AT2G09220
AT2G41310,AT2G09250
AT2G44880,AT2G09570
AT3G02980,AT3G01225
AT3G03900,AT3G01365
AT3G04220,AT3G01445
AT3G05030,AT3G01555
AT3G05035,AT3G01565
AT3G05035,AT3G01575
AT3G05050,AT3G01595
AT3G05365,AT3G01625
AT3G05580,AT3G01655
AT3G05650,AT3G01675
AT3G06630,AT3G01865
AT3G11500,AT3G02425
AT3G13530,AT3G02735
AT3G14550,AT3G02985
AT3G15940,AT3G03195
AT3G19830,AT3G03905
AT3G21215,AT3G04065
AT3G21250,AT3G04085
AT3G25170,AT3G04875
AT3G26135,AT3G04995
AT3G26934,AT3G05125
AT3G26980,AT3G05135
AT3G29631,AT3G05845
AT3G29637,AT3G05855
AT3G29645,AT3G05885
AT3G30823,AT3G06115
AT3G44070,AT3G06715
AT3G45420,AT3G07125
AT3G46540,AT3G07435
AT3G46845,AT3G07555
AT3G48770,AT3G07995
AT3G50190,AT3G08100
AT3G52720,AT3G08280
AT3G53450,AT3G08340
AT3G53590,AT3G08355
AT3G55160,AT3G08450
AT3G55513,AT3G08495
AT3G58415,AT3G09125
AT3G61650,AT3G09685
AT3G62200,AT3G09755
AT3G02245,AT3G01105
AT3G05730,AT3G01735
AT3G10455,AT3G02325
AT3G13800,AT3G02785
AT3G14020,AT3G02825
AT3G14467,AT3G02945
AT3G16360,AT3G03295
AT3G17626,AT3G03515
AT3G17630,AT3G03515
AT3G17890,AT3G03595
AT3G18170,AT3G03635
AT3G19565,AT3G03835
AT3G21000,AT3G04045
AT3G23270,AT3G04435
AT3G24750,AT3G04805
AT3G27475,AT3G05245
AT3G27810,AT3G05315
AT3G30305,AT3G06045
AT3G42640,AT3G06425
AT3G43840,AT3G06685
AT3G44405,AT3G06805
AT3G44763,AT3G06925
AT3G47390,AT3G07745
AT3G47540,AT3G07775
AT3G47740,AT3G07815
AT3G51070,AT3G08175
AT3G57040,AT3G08825
AT3G57062,AT3G08835
AT4G02140,AT4G04065
AT4G02715,AT4G04285
AT4G08480,AT4G05545
AT4G08869,AT4G05625
AT4G09060,AT4G05695
AT4G09355,AT4G05715
AT4G11547,AT4G05895
AT4G12050,AT4G05945
AT4G12170,AT4G05975
AT4G13560,AT4G06105
AT4G13960,AT4G06165
AT4G14920,AT4G06285
AT4G15250,AT4G06300
AT4G18970,AT4G06860
AT4G19420,AT4G06885
AT4G19440,AT4G06895
AT4G25160,AT4G07345
AT4G25480,AT4G07385
AT4G26580,AT4G07665
AT4G27820,AT4G07905
AT4G27950,AT4G07925
AT4G29310,AT4G08085
AT4G29700,AT4G08195
AT4G29900,AT4G08255
AT4G31405,AT4G08505
AT4G33240,AT4G08775
AT4G35300,AT4G09145
AT4G37670,AT4G09555
AT4G00580,AT4G03665
AT4G00690,AT4G03715
AT4G00695,AT4G03715
AT4G00925,AT4G03785
AT4G02900,AT4G04345
AT4G04415,AT4G04875
AT4G06643,AT4G05205
AT4G07835,AT4G05235
AT4G08868,AT4G05645
AT4G08868,AT4G05650
AT4G11440,AT4G05880
AT4G12850,AT4G05990
AT4G15800,AT4G06335
