convanti_lncRNA,mRNA
AT1G04203,AT1G03660
AT1G04427,AT1G05783
AT1G04593,AT1G07540
AT1G04747,AT1G09880
AT1G05093,AT1G14460
AT1G05113,AT1G14660
AT1G05227,AT1G16480
AT1G05357,AT1G17920
AT1G05607,AT1G20840
AT1G05707,AT1G22060
AT1G06287,AT1G29535
AT1G06613,AT1G32750
AT1G08607,AT1G63350
AT1G09013,AT1G68800
AT1G09263,AT1G71710
AT1G09303,AT1G72080
AT1G09323,AT1G72560
AT1G09423,AT1G74180
AT1G09497,AT1G74660
AT1G09667,AT1G76760
AT1G09887,AT1G79540
AT1G04023,AT1G01220
AT1G04313,AT1G05035
AT1G04657,AT1G08620
AT1G04713,AT1G09650
AT1G04847,AT1G11410
AT1G04873,AT1G11720
AT1G05303,AT1G17360
AT1G05323,AT1G17750
AT1G05447,AT1G18860
AT1G05943,AT1G25250
AT1G06007,AT1G26700
AT1G06407,AT1G31095
AT1G06543,AT1G32375
AT1G08583,AT1G62950
AT1G08703,AT1G64540
AT1G08867,AT1G66930
AT1G08877,AT1G67035
AT1G09357,AT1G72950
AT1G09603,AT1G75920
AT1G09773,AT1G78040
AT1G09977,AT1G80520
AT2G04155,AT2G02010
AT2G04265,AT2G02635
AT2G06535,AT2G16016
AT2G08240,AT2G28170
AT2G08485,AT2G31900
AT2G08535,AT2G32660
AT2G08690,AT2G34850
AT2G08800,AT2G36480
AT2G08805,AT2G36590
AT2G09170,AT2G40715
AT2G09650,AT2G45540
AT2G09770,AT2G46980
AT2G09775,AT2G47000
AT2G09955,AT2G47750
AT2G05015,AT2G06845
AT2G05405,AT2G07680
AT2G08180,AT2G26780
AT2G08255,AT2G28250
AT2G08260,AT2G28260
AT2G08310,AT2G28990
AT2G08385,AT2G30410
AT2G08490,AT2G31910
AT2G08500,AT2G31960
AT2G08560,AT2G33280
AT2G08565,AT2G33290
AT2G08980,AT2G38890
AT2G09105,AT2G40004
AT2G09115,AT2G40130
AT2G09220,AT2G41100
AT3G01225,AT3G02980
AT3G01365,AT3G03900
AT3G01445,AT3G04220
AT3G01555,AT3G05030
AT3G01575,AT3G05035
AT3G01595,AT3G05050
AT3G01625,AT3G05365
AT3G01655,AT3G05580
AT3G02735,AT3G13530
AT3G02985,AT3G14550
AT3G03195,AT3G15940
AT3G03905,AT3G19830
AT3G04085,AT3G21250
AT3G04875,AT3G25170
AT3G04995,AT3G26135
AT3G06715,AT3G44070
AT3G07125,AT3G45420
AT3G07435,AT3G46540
AT3G07995,AT3G48770
AT3G08280,AT3G52720
AT3G08340,AT3G53450
AT3G08355,AT3G53590
AT3G09755,AT3G62200
AT3G01735,AT3G05730
AT3G02785,AT3G13800
AT3G02825,AT3G14020
AT3G03515,AT3G17630
AT3G03635,AT3G18170
AT3G03835,AT3G19565
AT3G04435,AT3G23270
AT3G04805,AT3G24750
AT3G05245,AT3G27475
AT3G05315,AT3G27810
AT3G06045,AT3G30305
AT3G06425,AT3G42640
AT3G06805,AT3G44405
AT3G07745,AT3G47390
AT3G07775,AT3G47540
AT3G07815,AT3G47740
AT3G08825,AT3G57040
AT4G05625,AT4G08869
AT4G05695,AT4G09060
AT4G05895,AT4G11547
AT4G05945,AT4G12050
AT4G05975,AT4G12170
AT4G06105,AT4G13560
AT4G06165,AT4G13960
AT4G06285,AT4G14920
AT4G06300,AT4G15250
AT4G06860,AT4G18970
AT4G06885,AT4G19420
AT4G06895,AT4G19440
AT4G07345,AT4G25160
AT4G07665,AT4G26580
AT4G07905,AT4G27820
AT4G08255,AT4G29900
AT4G08775,AT4G33240
AT4G09145,AT4G35300
AT4G09555,AT4G37670
AT4G03665,AT4G00580
AT4G03715,AT4G00695
AT4G04345,AT4G02900
AT4G04875,AT4G04415
AT4G05205,AT4G06643
AT4G05645,AT4G08868
AT4G05880,AT4G11440
AT4G06850,AT4G18830
AT4G06980,AT4G21065
AT4G07020,AT4G21550
AT4G08965,AT4G34320
AT4G09945,AT4G39860
AT5G00840,AT5G02390
AT5G00975,AT5G04670
AT5G01285,AT5G07070
AT5G01345,AT5G07175
AT5G01455,AT5G07980
AT5G01535,AT5G08230
AT5G02425,AT5G15537
AT5G02885,AT5G18290
AT5G03155,AT5G20490
AT5G03685,AT5G24080
