down_lncRNA,mRNA
AT1G05843,AT1G23985
AT1G06487,AT1G31950
AT1G06593,AT1G32575
AT1G08007,AT1G54940
AT1G08023,AT1G54953
AT1G08063,AT1G55650
AT1G04293,AT1G04895
AT1G06103,AT1G27580
AT1G49938,AT1G49940
AT1G08457,AT1G62085
AT2G07255,AT2G19960
AT2G08720,AT2G35215
AT2G08830,AT2G36815
AT2G05725,AT2G12430
AT3G01535,AT3G04990
AT4G09335,AT4G36490
AT4G06850,AT4G18840
AT5G00775,AT5G01480
AT5G01485,AT5G08141
AT5G03275,AT5G20995
AT5G03515,AT5G22796
AT5G09065,AT5G62420
AT5G09265,AT5G64800
AT5G05055,AT5G32670
AT5G06915,AT5G46980
AT5G08905,AT5G59270
AT1G04353,AT1G05220
AT1G04513,AT1G06790
AT1G04537,AT1G07010
AT1G04647,AT1G08310
AT1G05523,AT1G20065
AT1G08477,AT1G62170
AT1G09453,AT1G74410
AT1G04053,AT1G01760
AT1G04117,AT1G02430
AT1G04533,AT1G06925
AT1G04837,AT1G11100
AT1G04887,AT1G11780
AT1G05213,AT1G15960
AT1G05347,AT1G17870
AT1G26218,AT1G26230
AT1G07693,AT1G50910
AT1G08043,AT1G55270
AT1G08577,AT1G62850
AT1G08973,AT1G68300
AT1G09487,AT1G74560
AT1G80325,AT1G80330
AT2G03975,AT2G01400
AT2G07305,AT2G20495
AT2G08660,AT2G34380
AT2G08665,AT2G34410
AT2G42247,AT2G42240
AT2G47895,AT2G47890
AT2G07015,AT2G17975
AT2G08000,AT2G24320
AT2G08345,AT2G29530
AT2G09640,AT2G45540
AT3G52535,AT3G52526
AT3G09745,AT3G62080
AT4G03895,AT4G01570
AT4G05815,AT4G10760
AT4G06780,AT4G18400
AT4G07285,AT4G24810
AT4G09695,AT4G38260
AT5G00780,AT5G01570
AT5G00820,AT5G02140
AT5G03255,AT5G20935
AT5G08820,AT5G58120
AT5G09395,AT5G65540
AT5G01815,AT5G10700
AT5G03805,AT5G24630
AT5G05995,AT5G39680
AT5G06235,AT5G41870
AT5G07885,AT5G52110
AT5G09175,AT5G64010
AT5G09595,AT5G66290
