AT1G03987	AT1G01030
AT1G04087	AT1G02140
AT1G04137	AT1G02630
AT1G04257	AT1G04390
AT1G04283	AT1G04660
AT1G04323	AT1G05040
AT1G04787	AT1G10390
AT1G04807	AT1G10640
AT1G04957	AT1G12500
AT1G04963	AT1G12610
AT1G05013	AT1G13450
AT1G05053	AT1G14120
AT1G05117	AT1G14690
AT1G05127	AT1G14880
AT1G05223	AT1G16230
AT1G05237	AT1G16515
AT1G05443	AT1G18840
AT1G05497	AT1G19300
AT1G05603	AT1G20795
AT1G05717	AT1G22140
AT1G05897	AT1G24400
AT1G05953	AT1G25260
AT1G06027	AT1G26820
AT1G06127	AT1G28200
AT1G06163	AT1G28480
AT1G06187	AT1G29020
AT1G06203	AT1G29030
AT1G06293	AT1G29700
AT1G06433	AT1G31310
AT1G06533	AT1G32200
AT1G07003	AT1G37012
AT1G07157	AT1G43570
AT1G07177	AT1G43620
AT1G07303	AT1G45170
AT1G07657	AT1G50640
AT1G07683	AT1G50760
AT1G07777	AT1G52050
AT1G07873	AT1G53170
AT1G07913	AT1G53610
AT1G07927	AT1G53635
AT1G08077	AT1G55950
AT1G08127	AT1G56250
AT1G08133	AT1G56720
AT1G08207	AT1G58242
AT1G08227	AT1G58280
AT1G08247	AT1G58430
AT1G08377	AT1G61310
AT1G08443	AT1G61890
AT1G08463	AT1G62085
AT1G08483	AT1G62225
AT1G08573	AT1G62820
AT1G08757	AT1G65481
AT1G08767	AT1G65580
AT1G08827	AT1G66290
AT1G08863	AT1G66920
AT1G09057	AT1G69460
AT1G09147	AT1G70220
AT1G09163	AT1G70320
AT1G09217	AT1G71030
AT1G09377	AT1G73360
AT1G09387	AT1G73510
AT1G09703	AT1G77095
AT1G09983	AT1G80600
AT1G04143	AT1G02690
AT1G04167	AT1G03160
AT1G04243	AT1G04130
AT1G04333	AT1G05087
AT1G04453	AT1G06410
AT1G04523	AT1G06870
AT1G04607	AT1G07630
AT1G04717	AT1G09665
AT1G04763	AT1G10110
AT1G04813	AT1G10657
AT1G04857	AT1G11590
AT1G04863	AT1G11680
AT1G04923	AT1G12040
AT1G05037	AT1G13950
AT1G05193	AT1G15740
AT1G05217	AT1G16120
AT1G05263	AT1G16760
AT1G05283	AT1G17050
AT1G05473	AT1G19180
AT1G05483	AT1G19230
AT1G05517	AT1G20020
AT1G05567	AT1G20740
AT1G05613	AT1G21000
AT1G05643	AT1G21240
AT1G05667	AT1G21395
AT1G05793	AT1G23147
AT1G05827	AT1G23720
AT1G05857	AT1G24145
AT1G05983	AT1G26130
AT1G06013	AT1G26730
AT1G06043	AT1G27130
AT1G06057	AT1G27220
AT1G06063	AT1G27280
AT1G06073	AT1G27285
AT1G06123	AT1G28100
AT1G06177	AT1G28815
AT1G06347	AT1G30530
AT1G06417	AT1G31175
AT1G06537	AT1G32360
AT1G06583	AT1G32575
AT1G06627	AT1G32920
AT1G06703	AT1G33750
AT1G06907	AT1G35540
AT1G07187	AT1G43680
AT1G07347	AT1G47310
AT1G07433	AT1G47770
AT1G07493	AT1G48590
AT1G07497	AT1G48600
AT1G07583	AT1G49720
AT1G07673	AT1G50730
AT1G07837	AT1G52660
AT1G07907	AT1G53550
AT1G07947	AT1G54180
AT1G08013	AT1G54955
AT1G08033	AT1G55175
AT1G08173	AT1G57720
AT1G08193	AT1G58040
AT1G08257	AT1G59620
AT1G08357	AT1G61120
AT1G08363	AT1G61240
AT1G08393	AT1G61600
AT1G08417	AT1G61630
AT1G08453	AT1G62020
AT1G08777	AT1G65800
AT1G08807	AT1G66020
AT1G08953	AT1G67720
AT1G08997	AT1G68580
AT1G09077	AT1G69610
AT1G09137	AT1G70180
AT1G09183	AT1G70430
AT1G09187	AT1G70505
AT1G09283	AT1G71930
AT1G09343	AT1G72920
AT1G09353	AT1G72940
AT1G09407	AT1G73710
AT1G09633	AT1G76590
AT1G09647	AT1G76705
AT1G09733	AT1G77450
AT1G09737	AT1G77630
AT1G09813	AT1G78470
AT1G09857	AT1G79130
AT1G09937	AT1G79970
AT1G09953	AT1G80140
AT2G03995	AT2G01440
AT2G04085	AT2G01660
AT2G04095	AT2G01790
AT2G04315	AT2G02780
AT2G04405	AT2G02930
