pasanti_lncRNA,mRNA
AT1G04397,AT1G05575
AT1G04493,AT1G06710
AT1G04497,AT1G06710
AT1G04557,AT1G07060
AT1G06427,AT1G31255
AT1G06937,AT1G35830
AT1G07173,AT1G43605
AT1G08513,AT1G62310
AT1G09017,AT1G68877
AT1G09067,AT1G69550
AT1G09127,AT1G69980
AT1G09493,AT1G74660
AT1G09763,AT1G77860
AT1G04017,AT1G01210
AT1G04133,AT1G02620
AT1G04173,AT1G03165
AT1G04307,AT1G05005
AT1G04847,AT1G11400
AT1G05493,AT1G19290
AT1G05553,AT1G20460
AT1G06543,AT1G32370
AT1G06637,AT1G32950
AT1G06757,AT1G34460
AT1G07707,AT1G50950
AT1G08433,AT1G61810
AT1G08437,AT1G61810
AT1G08663,AT1G64253
AT1G09007,AT1G68680
AT1G09317,AT1G72530
AT1G09997,AT1G80960
AT2G04465,AT2G02950
AT2G05865,AT2G13105
AT2G05875,AT2G13275
AT2G06655,AT2G16510
AT2G07415,AT2G21455
AT2G08775,AT2G35890
AT2G09165,AT2G40715
AT2G09420,AT2G43140
AT2G09765,AT2G46950
AT2G09965,AT2G47760
AT2G03945,AT2G01379
AT2G04485,AT2G03140
AT2G04655,AT2G03965
AT2G04945,AT2G05655
AT2G05575,AT2G10615
AT2G05585,AT2G10615
AT2G06085,AT2G14247
AT2G06405,AT2G15318
AT2G09055,AT2G39500
AT2G09250,AT2G41310
AT2G09570,AT2G44880
AT3G01565,AT3G05035
AT3G01675,AT3G05650
AT3G01865,AT3G06630
AT3G02425,AT3G11500
AT3G04065,AT3G21215
AT3G05125,AT3G26934
AT3G05135,AT3G26980
AT3G05845,AT3G29631
AT3G05855,AT3G29637
AT3G05885,AT3G29645
AT3G06115,AT3G30823
AT3G07555,AT3G46845
AT3G08100,AT3G50190
AT3G08450,AT3G55160
AT3G08495,AT3G55513
AT3G09125,AT3G58415
AT3G09685,AT3G61650
AT3G01105,AT3G02245
AT3G02325,AT3G10455
AT3G02945,AT3G14467
AT3G03295,AT3G16360
AT3G03595,AT3G17890
AT3G04045,AT3G21000
AT3G06685,AT3G43840
AT3G08175,AT3G51070
AT3G08835,AT3G57062
AT4G04065,AT4G02140
AT4G04285,AT4G02715
AT4G05545,AT4G08480
AT4G08085,AT4G29310
AT4G08195,AT4G29700
AT4G08505,AT4G31405
AT4G03715,AT4G00690
AT4G03785,AT4G00925
AT4G05235,AT4G07835
AT4G05990,AT4G12850
AT4G06335,AT4G15800
AT4G06385,AT4G16233
AT4G06425,AT4G16745
AT4G06830,AT4G18610
AT4G08185,AT4G29540
AT4G09005,AT4G34440
AT5G02635,AT5G16960
AT5G03715,AT5G24275
AT5G04055,AT5G25755
AT5G06635,AT5G44860
AT5G07145,AT5G48450
AT5G07385,AT5G49305
AT5G09635,AT5G66595
AT5G09665,AT5G66650
AT5G00770,AT5G01480
AT5G02075,AT5G13250
AT5G02085,AT5G13310
AT5G02745,AT5G17570
AT5G02935,AT5G18937
AT5G03525,AT5G22799
AT5G03695,AT5G24215
AT5G04225,AT5G26270
AT5G04365,AT5G27090
AT5G05815,AT5G38747
AT5G06465,AT5G43068
AT5G06575,AT5G44563
AT5G06595,AT5G44585
AT5G07615,AT5G50365
AT5G07635,AT5G50443
AT5G07825,AT5G51790
AT5G09070,AT5G62420
AT5G09325,AT5G65225
AT1G04047,AT1G01725
AT1G04073,AT1G01860
AT1G04083,AT1G01910
AT1G04103,AT1G02310
AT1G04153,AT1G02870
AT1G02952,AT1G02950
AT1G04163,AT1G03100
AT1G04183,AT1G03410
AT1G03545,AT1G03550
AT1G04237,AT1G04040
AT1G04247,AT1G04220
AT1G04295,AT1G04290
AT1G04303,AT1G04910
AT1G04353,AT1G05230
AT1G05562,AT1G05560
AT1G04413,AT1G05720
AT1G06002,AT1G06000
AT1G04503,AT1G06760
AT1G04513,AT1G06800
AT1G04537,AT1G07020
AT1G04583,AT1G07473
AT1G04587,AT1G07480
AT1G07728,AT1G07725
AT1G04647,AT1G08315
AT1G09421,AT1G09420
AT1G04743,AT1G09860
AT1G04817,AT1G10750
AT1G04827,AT1G10865
AT1G04893,AT1G11820
AT1G04917,AT1G11900
AT1G04933,AT1G12150
AT1G04953,AT1G12480
AT1G04977,AT1G12820
AT1G05023,AT1G13700
AT1G05043,AT1G14010
AT1G05047,AT1G14030
AT1G05123,AT1G14810
AT1G05183,AT1G15700
AT1G05267,AT1G16820
AT1G05277,AT1G16890
AT1G05343,AT1G17850
AT1G05367,AT1G18040
AT1G05383,AT1G18100
AT1G05523,AT1G20070
AT1G05777,AT1G22850
AT1G05837,AT1G23830
AT1G05873,AT1G24290
AT1G25098,AT1G25097
AT1G05977,AT1G26100
AT1G06257,AT1G29420
AT1G30282,AT1G30280
AT1G06423,AT1G31200
AT1G31485,AT1G31490
AT1G06717,AT1G34000
AT1G34844,AT1G34842
AT1G06977,AT1G36390
AT1G07567,AT1G49540
AT1G07607,AT1G50020
AT1G07697,AT1G50910
AT1G07737,AT1G51400
AT1G07753,AT1G51550
AT1G51645,AT1G51640
AT1G07803,AT1G52340
AT1G07853,AT1G53100
AT1G53233,AT1G53230
AT1G07887,AT1G53480
AT1G07893,AT1G53500
AT1G07943,AT1G54160
AT1G08073,AT1G55860
AT1G56242,AT1G56240
AT1G08477,AT1G62180
AT1G08537,AT1G62590
AT1G08567,AT1G62800
AT1G08657,AT1G64190
AT1G08707,AT1G64561
AT1G08753,AT1G65420
AT1G08853,AT1G66870
AT1G67365,AT1G67370
AT1G67792,AT1G67790
AT1G09023,AT1G68940
AT1G09053,AT1G69270
AT1G69572,AT1G69570
AT1G09223,AT1G71260
AT1G09257,AT1G71490
AT1G09287,AT1G71950
AT1G72855,AT1G72860
AT1G09443,AT1G74370
AT1G09453,AT1G74420
AT1G09527,AT1G75090
AT1G09543,AT1G75180
AT1G09663,AT1G76760
AT1G78265,AT1G78270
AT1G79529,AT1G79530
AT1G09927,AT1G79850
AT1G09963,AT1G80410
AT1G04053,AT1G01750
AT1G04067,AT1G01840
AT1G04077,AT1G01900
AT1G04147,AT1G02860
