id1	id2	cor	p.value	mean1	mean2	ratio
AT3G51070	AT3G51075	0.795013556765415	1.48189047974003e-159	14	8	0.571428571428571
AT5G38210	AT5G38212	0.747558299060181	5.78609121710964e-131	254	197	0.775590551181102
AT2G42370	AT2G42365	0.681242219754337	2.71112564558162e-100	109	75	0.688073394495413
AT4G09430	AT4G09432	0.630116908823926	1.05674160097486e-81	21	25	1.19047619047619
AT1G26210	AT1G26208	0.586682645007498	1.91671770107312e-68	54	51	0.944444444444444
AT1G27920	AT1G27921	0.512144148575677	7.39218423364363e-50	407	16	0.0393120393120393
AT1G29780	AT1G29785	0.449926312366316	1.60924878147364e-37	8	116	14.5
AT4G27850	AT4G27852	0.410516629521533	6.32313674141862e-31	6	8	1.33333333333333
AT3G57970	AT3G57965	0.401732365146898	1.43006224891275e-29	48	54	1.125
AT1G53230	AT1G53233	0.353058614765373	9.13031848332875e-23	47	3	0.0638297872340425
AT5G15840	AT5G15845	0.350523008061353	1.92343290907577e-22	42	12	0.285714285714286
AT1G53400	AT1G53410	0.343573519421542	1.43210928434806e-21	916	18	0.0196506550218341
AT1G45229	AT1G45234	0.343522720219784	1.45301225339031e-21	51	10	0.196078431372549
AT4G37560	AT4G37553	0.3299885178265	6.28114255768621e-20	1180	3	0.00254237288135593
AT5G46110	AT5G46105	0.326463244029231	1.62519162194505e-19	50071	3	5.99149208124463e-05
AT4G37230	AT4G37225	0.293257546934814	6.93804806974597e-16	4	3	0.75
AT3G63440	AT3G63445	0.290716287043004	1.2598310758245e-15	239	109	0.456066945606695
AT5G20220	AT5G20225	0.270928341455389	1.07057346350824e-13	317	3	0.00946372239747634
AT4G27860	AT4G27852	0.25751525792107	1.78060684564101e-12	702	8	0.0113960113960114
AT3G48120	AT3G48115	0.249105363708787	9.57606578683353e-12	261	595	2.27969348659004
AT2G31750	AT2G31751	0.244873587961133	2.18173653939713e-11	891	41	0.0460157126823793
AT4G38540	AT4G38545	0.24264970410607	3.34247496915291e-11	37	8	0.216216216216216
AT5G54570	AT5G54569	0.218935193974599	2.4388934342601e-09	27	18	0.666666666666667
AT1G56610	AT1G56612	0.2068306443409	1.82171059233168e-08	413	194	0.469733656174334
AT2G42360	AT2G42365	0.204070486255224	2.83402097916808e-08	81	75	0.925925925925926
AT4G20360	AT4G20362	0.188234853008471	3.1809211101407e-07	30509	29	0.000950539185158478
AT5G18240	AT5G18245	0.186925471670698	3.85068525930802e-07	61	90	1.47540983606557
AT3G21760	AT3G21755	0.180786044237082	9.26592535526677e-07	18	19	1.05555555555556
AT5G05430	AT5G05435	0.175512095690037	1.92460280542805e-06	20	70	3.5
AT4G38550	AT4G38552	0.171575461100751	3.2751694891139e-06	509	9	0.0176817288801572
AT1G13450	AT1G13448	0.158144877698941	1.83812529058756e-05	831	94	0.113116726835138
AT2G33050	AT2G33051	0.155291113792953	2.60578063337567e-05	70	4	0.0571428571428571
AT3G24520	AT3G24518	0.140956749163137	0.000137222455573269	18	15	0.833333333333333
AT2G47900	AT2G47895	0.139329311630859	0.000164126398666286	1187	13	0.0109519797809604
AT5G65580	AT5G65575	0.135104198889165	0.00025889114765273	4	138	34.5
AT1G33430	AT1G33415	0.132268898515151	0.00034896645396535	20	116	5.8
AT3G05900	AT3G05905	0.103724035370576	0.00511903058036389	323	3	0.00928792569659443
AT4G38530	AT4G38545	0.0863309941621261	0.0199078816760624	127	8	0.062992125984252
AT1G33612	AT1G33615	0.0856340212316457	0.0209316710321953	38	17	0.447368421052632
AT1G45229	AT1G45238	0.0851894587050638	0.0216083503100836	51	4	0.0784313725490196
AT1G67370	AT1G67365	0.0827934048894207	0.0255921219375357	25	61	2.44
AT2G42250	AT2G42247	0.0794572994421969	0.0321851698752633	18	15	0.833333333333333
AT1G54350	AT1G54355	0.0774845753246291	0.0367295345478542	930	3	0.0032258064516129
AT1G33420	AT1G33415	0.0772658411132431	0.0372654811801779	402	116	0.288557213930348
AT5G18260	AT5G18255	0.0710318845402218	0.0555752973451932	11	65	5.90909090909091
AT1G28680	AT1G28685	0.0572915790510713	0.122743710036875	144	6	0.0416666666666667
AT3G46670	AT3G46668	0.0569876845939208	0.124744761449222	278	67	0.241007194244604
AT3G52540	AT3G52535	0.0553641474966898	0.135868233274254	37	91	2.45945945945946
AT4G20350	AT4G20362	0.00985491111796776	0.790804123671151	66	29	0.439393939393939
AT4G26790	AT4G26795	0.00960397837389278	0.796011913688937	35	6	0.171428571428571
AT5G15850	AT5G15845	0.00537076477648789	0.885055554928333	33	12	0.363636363636364
AT2G04850	AT2G04852	-0.000621171168716222	0.986660166598336	181	4	0.0220994475138122
AT2G37550	AT2G37555	-0.0129059767004149	0.728291796501664	1146	3	0.00261780104712042
AT1G75290	AT1G75295	-0.0264392202970994	0.476603012262303	13	12	0.923076923076923
AT5G45480	AT5G45475	-0.0317757464968653	0.39226930276778	564	3	0.00531914893617021
AT1G69588	AT1G69587	-0.0351901376451426	0.343389023133504	23	115	5
AT4G26510	AT4G26488	-0.0410914290959148	0.268507352040787	1259	3	0.00238284352660842
AT1G80310	AT1G80325	-0.0519396232655029	0.161819172621447	1024	10	0.009765625
