id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	log10BaseMean	mlog10PValue	symbol
AT1G05560	2571.39361338359	-4.66685160528997	0.123005385604193	-37.9402217420542	0	0	3.41016856090435	Inf	UGT1
AT1G20450	39966.8934883736	-3.87237918205001	0.0948301049446798	-40.8349140213333	0	0	4.60170039311153	Inf	ERD10
AT1G52690	9842.62665412359	-7.99285828989697	0.155149924699379	-51.516997545336	0	0	3.99311101196449	Inf	LEA7
AT1G69260	3943.63388500155	-5.20938779250127	0.131749248778506	-39.540170747077	0	0	3.59589658955925	Inf	AFP1
AT1G77450	5321.28352504299	-5.2563341477083	0.135487573232232	-38.7956919023023	0	0	3.72601639932713	Inf	anac032
AT2G43820	6775.30878094671	-4.04267563473004	0.1075590835346	-37.5856273768788	0	0	3.83092909272805	Inf	ATSAGT1
AT3G02480	5044.69628642739	-7.55622025591633	0.199059609281375	-37.9595854889649	0	0	3.70283502486448	Inf	ABR
AT3G17520	5125.40582543832	-7.29813022992829	0.191459487641047	-38.1184046810519	0	0	3.70972825817086	Inf	SSLEA
AT3G22830	2907.77695577918	-7.98568326000274	0.203642656641653	-39.2141970238339	0	0	3.46356109043	Inf	AT-HSFA6B
AT3G50970	21856.2703088314	-4.16947982461532	0.104025811754102	-40.0812044079138	0	0	4.33957605319964	Inf	LTI30
AT4G27410	5537.59243485263	-3.98349249376716	0.101635296392595	-39.1939870808246	0	0	3.74332098864176	Inf	ANAC072
AT5G06760	7814.945627358	-7.47417773700319	0.145536370381007	-51.3560817645525	0	0	3.89292596075309	Inf	AtLEA4-5
AT5G15970	40911.8668965844	-4.81323513746334	0.118547692551567	-40.6016771298152	0	0	4.61184929774295	Inf	AtCor6.6
AT1G77120	7112.54949234183	-5.94348766525192	0.159020984831764	-37.3754927473241	9.7746104677888e-306	1.70699608090692e-302	3.85202530143141	305.009900540844	ADH
AT5G17460	7928.37139487195	-3.88287719105396	0.103937565253948	-37.3577847582538	1.89527588721195e-305	3.08917334442966e-302	3.89918398594816	304.722327562702	DFR1
AT5G52310	60763.8033489129	-5.44886541396604	0.148424336197221	-36.7114016041533	4.804145610359e-295	7.3410347517292e-292	4.78364494955135	294.318383837902	COR78
AT5G28510	5028.88505215819	-8.21196111123628	0.224606382101669	-36.561566213729	1.16794935825797e-292	1.67971728588524e-289	3.70147170883947	291.932575987622	BGLU24
AT4G19230	5002.29861540689	-4.79866864266894	0.133069399103767	-36.0613986009433	9.14068303751791e-285	1.24155866435709e-281	3.69916961365447	284.039021350399	CYP707A1
AT1G07430	1624.38443891204	-6.14809928463557	0.171092186572235	-35.9344246386134	8.86299054477736e-283	1.14048029383822e-279	3.21068882043447	282.05241971401	AIP1
AT4G24780	1888.64732330514	5.41686794950233	0.151740067946189	35.6983361271678	4.19528476949896e-279	5.12852586647401e-276	3.27615086748124	278.377238554591	PLL19
AT2G46680	7788.77453355129	-3.92690619794522	0.110848744997186	-35.4258065623107	6.84137088060668e-275	7.96498460285489e-272	3.8914691322319	274.164856865205	ATHB-7
AT2G37870	1370.63474992306	-5.3607367212828	0.153874300033305	-34.8384149927735	6.37714749357946e-266	7.0870399577511e-263	3.13692173835874	265.195373538336	NA
AT2G36780	1705.34717514963	-6.86654601577962	0.197656880427018	-34.7397267474076	1.98110578388121e-264	2.10591544826573e-261	3.23181280614562	263.703092334088	NA
AT1G49450	3697.69721686814	-4.60635887452636	0.134843420049591	-34.1607983009649	9.24412613064651e-256	9.41706832367403e-253	3.56793134640482	255.034134137461	NA
AT4G31860	5721.74852085463	-3.73500382068675	0.115135600176075	-32.4400430012513	7.48445805529808e-231	7.31950059975931e-228	3.75752876601639	230.125839641161	NA
AT1G05100	1300.24512159973	-6.49668642281572	0.20113453392861	-32.3002037289213	6.94890944095933e-229	6.53438026623133e-226	3.11402523301692	228.158083348063	MAPKKK18
AT5G61820	18972.5644694674	-3.83053749587731	0.120746412119886	-31.7238204318159	7.29408531174158e-221	6.60492932543592e-218	4.2781260372495	220.137029161477	NA
AT1G16850	2294.36188696726	-5.21552956282197	0.166160873407135	-31.3884337261676	2.91028480007068e-216	2.45357079575614e-213	3.36066191971936	215.536064508936	NA
AT5G15960	18772.7404259609	-4.50666988933043	0.143572775952262	-31.3894459408439	2.81918100186018e-216	2.45357079575614e-213	4.27352767512535	215.549877039919	KIN1
AT3G05880	11650.0896786768	-3.06187956932655	0.0977601052313804	-31.3203383126444	2.46680338936358e-215	2.01036253555167e-212	4.06632926843539	214.607865463529	RCI2A
AT1G20440	81399.1614760727	-3.44061573366957	0.110945391274009	-31.0117950296112	3.73797144790397e-211	2.94805367515497e-208	4.91061993107851	210.427364020257	AtCOR47
AT5G39050	4551.90237065027	-4.54235308670526	0.147208427564126	-30.856610330455	4.56717114093237e-209	3.48946147577049e-206	3.65819293872477	208.340352714215	PMAT1
AT3G50740	1353.10799746092	4.53786762515038	0.150649256125307	30.1220712392757	2.49103182197465e-199	1.84555263683207e-196	3.131332460921	198.603620724483	UGT72E1
AT1G62570	14160.9199865787	-3.34349769643375	0.111139768094995	-30.0837202897161	7.9124925599613e-199	5.68978031172041e-196	4.15109146889865	198.101686685337	FMO
AT1G61890	4030.43499381648	-3.75428918244967	0.125533596170835	-29.9066488730281	1.61263210271584e-196	1.12649263655142e-193	3.60535192088533	195.792464698937	NA
AT3G55500	1837.52180923437	-6.99096152397935	0.236377034647128	-29.5754684223689	3.09038309975044e-192	2.09879934460551e-189	3.26423250235429	191.509987679865	ATEXP16
AT2G40610	1402.72420457354	7.25355349502948	0.246209760264819	29.4608690054678	9.13714864543118e-191	6.03767965492289e-188	3.14697229098136	190.039189309819	ATEXP8
AT1G72680	2579.00294642533	-3.50816421335748	0.119627809366708	-29.3256579045391	4.88448174842602e-189	3.14264984913862e-186	3.41145183830526	188.311181508862	ATCAD1
AT4G30470	4562.34895102263	-3.75509798454294	0.128181662738602	-29.2951261850974	1.19651602430677e-188	7.50092827648111e-186	3.65918849920189	187.922081480735	NA
AT1G43160	3314.82366783945	-6.93752193811162	0.237472202802564	-29.21403792207	1.28633558988405e-187	7.86240470926879e-185	3.52046043104513	186.890645714288	ERF113
AT3G59400	2653.15626610742	3.54145069988252	0.121733185391911	29.0919085743225	4.54408109027645e-186	2.70971313600412e-183	3.42376282989546	185.342553927133	GUN4
AT4G34710	77098.8475344892	-4.28543182028851	0.147874202291762	-28.9802531737968	1.16710569450201e-184	6.79394455354275e-182	4.88704788631097	183.932889811941	ADC2
AT4G26080	9939.63440926076	-2.95554962741786	0.102216997487522	-28.914463348218	7.85567278294941e-184	4.46658939233326e-181	3.99737041086003	183.104816614773	ABI1
AT5G23220	1784.73605498746	-3.78678811101395	0.131019405927287	-28.9024979483995	1.11067204266891e-183	6.17155017527549e-181	3.25157399728946	182.954414159858	NIC3
AT5G64260	15663.2826426799	-3.57195996196384	0.123779113962245	-28.8575337762829	4.07587113512472e-183	2.21446607517032e-180	4.1948827848102	182.38977955533	EXL2
AT2G19900	929.967423363968	-5.01176981649725	0.174020211735566	-28.7999294249391	2.14932355870287e-182	1.14236547145057e-179	2.96846773554204	181.66769820099	ATNADP-ME1
AT4G28250	1008.37058935144	5.38609340710592	0.187130638103027	28.7825310793871	3.54903517741315e-182	1.84617789473562e-179	3.00362017033578	181.44988969598	ATEXPB3
AT5G66780	1100.49003013125	-7.00784442619244	0.243619503200013	-28.7655312244806	5.79166333227287e-182	2.95000785022374e-179	3.04158611242449	181.237196691491	NA
AT5G59220	6336.09236973344	-6.17093992042847	0.218461153051834	-28.2473100330305	1.53585966492045e-175	7.66331284645717e-173	3.80182149992189	174.813648464991	HAI1
AT5G20830	8524.80078317893	-4.55136845898814	0.162694064592068	-27.9750123054584	3.27265790429083e-172	1.60026426204013e-169	3.93068423871709	171.485099389756	ASUS1
AT4G02380	13325.7242434929	-3.43629470657561	0.123588084605983	-27.804417533705	3.83578070835352e-170	1.8388431870301e-167	4.12469082193163	169.416146229414	AtLEA5
AT5G42900	889.519104798067	-6.09634623135573	0.22022654787945	-27.6821586228234	1.14506615158356e-168	5.38379275770509e-166	2.94915528015381	167.941169422985	COR27
AT1G72770	5399.15677490467	-3.61260232080869	0.130523387939904	-27.6778160437579	1.29152206920627e-168	5.95781567358943e-166	3.73232593823018	167.888898168312	AtHAB1
AT3G56275	706.807949378428	-4.79306252449914	0.174202637019436	-27.5142937357738	1.18427639013094e-166	5.36192101153916e-164	2.84930142531658	165.926546928778	NA
AT3G17110	732.23936411345	-4.44227299465138	0.163373433129477	-27.1909141502265	8.31816568662176e-163	3.69765150676755e-160	2.86465307220698	162.079972433326	NA
AT5G04250	929.458207472078	-4.00872976066375	0.147999108294566	-27.0861750915761	1.43273643451974e-161	6.25517376563806e-159	2.96822986675739	160.843833694851	NA
AT5G23060	4903.09562098271	3.07161518287343	0.114822749377997	26.7509287097947	1.20443801660535e-157	5.16619387157617e-155	3.69047036301167	156.919215544972	CaS
AT5G28520	2020.02678972609	-9.09035074407399	0.339946039169468	-26.7405696688888	1.58956378863621e-157	6.70055949454597e-155	3.30535712912636	156.798722039315	NA
AT1G54100	11390.8349963073	-3.08663583614004	0.115779268119097	-26.6596592488819	1.38294310575806e-156	5.73077559197944e-154	4.05655556086549	155.859195686386	ALDH7B4
AT2G29380	1415.5058982163	-8.51221652926069	0.321046269042866	-26.5139867678205	6.68630252354684e-155	2.72455683996994e-152	3.15091168334963	154.174813977529	HAI3
AT3G15670	1085.13043043476	-6.93240648520375	0.261690084182901	-26.4909024231829	1.23384593842074e-154	4.94529497515554e-152	3.03548194262108	153.908739064185	LEA76
AT4G33467	2104.92899070056	-4.94055707853979	0.186612834014354	-26.4749051405531	1.88587691076205e-154	7.43674267600344e-152	3.3232374495935	153.724486656626	NA
AT5G50360	830.718488084333	-7.05624814368078	0.26708705765759	-26.4192814341719	8.22826768947201e-154	3.19322090063335e-151	2.91945387602881	153.084691587885	AITR5
AT5G63180	828.437872827218	5.97674853238758	0.22678943188556	26.3537347516418	4.65068953622648e-153	1.77663606986252e-150	2.91825994486157	152.332482651502	NA
AT5G14780	16656.2471397627	-3.25223546965631	0.123542926842401	-26.3247403374623	9.99219126712088e-153	3.7584474506129e-150	4.22157715612893	152.000339261437	AtFDH1
