distalanti_lncRNA,mRNA
AT1G05843,AT1G23995
AT1G07167,AT1G43605
AT1G28715,AT1G28815
AT1G08017,AT1G54953
AT2G05535,AT2G10455
AT2G04855,AT2G05105
AT2G09220,AT2G41090
AT3G03515,AT3G17626
AT3G06925,AT3G44763
AT4G05715,AT4G09355
AT4G07385,AT4G25480
AT4G07925,AT4G27950
AT4G05650,AT4G08868
AT4G06980,AT4G21063
AT5G10965,AT5G10970
AT1G01448,AT1G01450
AT1G07119,AT1G07120
AT1G13448,AT1G13450
AT1G16489,AT1G16490
AT1G17255,AT1G17250
AT1G20515,AT1G20520
AT1G05767,AT1G22810
AT1G33415,AT1G33420
AT1G33415,AT1G33430
AT1G48315,AT1G48320
AT1G48698,AT1G48700
AT1G08387,AT1G61430
AT1G09863,AT1G79510
AT1G04117,AT1G02420
AT1G04487,AT1G06645
AT1G04533,AT1G06923
AT1G15002,AT1G15000
AT1G15175,AT1G15170
AT1G05333,AT1G17810
AT1G05347,AT1G17860
AT1G26208,AT1G26210
AT1G26218,AT1G26220
AT1G29785,AT1G29780
AT1G35545,AT1G35540
AT1G08043,AT1G55265
AT1G56165,AT1G56160
AT1G56612,AT1G56610
AT1G69587,AT1G69588
AT1G72852,AT1G72850
AT1G74545,AT1G74540
AT1G75295,AT1G75290
AT1G80325,AT1G80310
AT2G18917,AT2G18920
AT2G07305,AT2G20510
AT2G21187,AT2G21185
AT2G26355,AT2G26360
AT2G32179,AT2G32180
AT2G35738,AT2G35740
AT2G42247,AT2G42250
AT2G47895,AT2G47900
AT2G04852,AT2G04850
AT2G05914,AT2G05915
AT2G24545,AT2G24535
AT2G31751,AT2G31750
AT2G33051,AT2G33050
AT2G42365,AT2G42360
AT2G42365,AT2G42370
AT2G42835,AT2G42830
AT2G44798,AT2G44800
AT2G09640,AT2G45530
AT3G07385,AT3G46310
AT3G46658,AT3G46660
AT3G46668,AT3G46670
AT3G52535,AT3G52540
AT3G05932,AT3G05930
AT3G21755,AT3G21760
AT3G24518,AT3G24514
AT3G27990,AT3G27980
AT3G29644,AT3G29642
AT3G52072,AT3G52070
AT4G04077,AT4G04078
AT4G17098,AT4G17100
AT4G09432,AT4G09430
AT4G09432,AT4G09435
AT4G13918,AT4G13920
AT4G20362,AT4G20350
AT4G26488,AT4G26490
AT4G28162,AT4G28160
AT4G37553,AT4G37560
AT4G38545,AT4G38530
AT5G01175,AT5G01180
AT5G00780,AT5G01580
AT5G01595,AT5G01600
AT5G15845,AT5G15850
AT5G18255,AT5G18260
AT5G03585,AT5G23240
AT5G26146,AT5G26150
AT5G40348,AT5G40350
AT5G06695,AT5G45040
AT5G45472,AT5G45480
AT5G67488,AT5G67490
AT5G36002,AT5G36000
AT5G06665,AT5G44920
