id1	id2	overlapp	overlap	cor	p.value	mean1	mean2	ratio	promoterds	length1	length2	jg	kj
AT2G01410	AT2G03975	0.871141975308642	1129	0.706344129819659	6.57459945244906e-23	5.40215072332955	1.38283596694137	0.255978782852078	1206	1296	1129	0.0041683261754086	0.00122483256593567
AT5G41610	AT5G41612	0.813876651982379	2956	0.411111020414347	3.38986024141293e-07	0.225306534570885	1.46535660396352	6.50383534926945	3632	3632	2956	6.20337374919838e-05	0.000495722802423383
AT3G01140	AT3G01142	0.802745297407219	1579	0.490755525376564	4.8983790066801e-10	1.10343852480082	1.39817031207363	1.26710304257866	1579	1576	1579	0.000700151348223871	0.000885478348368353
AT5G19220	AT5G19221	0.799329983249581	2386	0.423972743077473	1.31648528841398e-07	81.3726902138908	0.486967661786402	0.0059844114838331	2867	2985	2386	0.0272605327349718	0.000204093739223136
AT4G28650	AT4G28652	0.766201117318436	2743	0.526230008695337	1.48082702316999e-11	0.123229341387777	4.31104874841284	34.9839470037163	2863	3580	2743	3.44216037396025e-05	0.001571654665845
AT5G01730	AT5G01732	0.709792284866469	3588	0.316570549052124	0.000117177305147268	3.95320149940408	0.159388588575757	0.040318862724246	5048	5055	3588	0.00078203788316599	4.44226835495421e-05
AT4G31250	AT4G31248	0.554928642548955	1672	0.341522149004935	2.98792156981678e-05	0.771060956404256	0.475720223677084	0.616968372896929	2806	3013	1672	0.00025591136953344	0.000284521664878639
AT5G64570	AT5G64572	0.45114671693371	1436	0.36177236084083	9.01601486723726e-06	16.2658052171177	1.32894197632512	0.0817015793922446	3038	3183	1436	0.00511021213230214	0.000925447058722228
AT3G22210	AT3G04255	0.369883040935673	253	0.314171301667776	0.000132811674733791	30.7490302821574	2.76827756805413	0.0900281258515156	469	684	253	0.044954722634733	0.0109418085693839
AT2G22850	AT2G07850	0.36675235646958	856	0.682276998473708	6.4473827538347e-21	1.60012358460653	1.00532365948598	0.628278758689251	1140	2334	856	0.00068557137301051	0.00117444352743689
AT2G35940	AT2G35945	0.366147516896856	1246	0.687261072177528	2.58694326611222e-21	52.61714797057	2.91280565367007	0.0553584860832683	1789	3403	1246	0.0154619888247341	0.00233772524371595
AT3G15190	AT3G03025	0.347262247838617	482	0.504331074604081	1.34610013884965e-10	67.9866438276012	0.847560146633473	0.012466568415742	1021	1388	482	0.048981731864266	0.00175842354073335
AT1G72600	AT1G09327	0.334640522875817	768	0.475589462049331	1.94264840586009e-09	0.991420918508613	1.11017528044301	1.11978198131329	796	2295	768	0.000431991685624668	0.0014455407297435
AT1G79720	AT1G09913	0.229751191106406	434	0.430706345914442	7.89679637816406e-08	6.95315404015557	1.34219068493024	0.193033359706815	665	1889	434	0.00368086502919829	0.00309260526481622
AT1G09420	AT1G09421	0.203985932004689	696	0.337907749144249	3.66891223777569e-05	10.4490247426449	1.63776637624033	0.156738682946767	3243	3412	696	0.00306243398084552	0.0023531126095407
AT1G18390	AT1G18382	0.203550295857988	860	0.784450161234704	4.74560535302783e-31	4.2837161428025	1.87946724042216	0.438746914540553	884	4225	860	0.00101389731190592	0.0021854270237467
AT2G31900	AT2G08485	0.0336633663366337	340	0.350332572876177	1.79205332927103e-05	0.659583890570173	1.25470818733044	1.90227233452566	688	10100	340	6.53053357000171e-05	0.00369031819803071
AT2G46570	AT2G46572	0.941453566621803	2798	0.512310096990773	6.13319449470098e-11	0.376989388107115	0.621995013021849	1.6499005877723	2834	2798	2972	0.000134735306685888	0.000209284997652035
AT1G67790	AT1G67792	0.889739130434783	2558	0.577444016867786	4.36283967244487e-14	0.172195574904229	2.32138714973808	13.48110804258	2722	2558	2875	6.73164874527869e-05	0.00080743900860455
AT5G66560	AT5G66558	0.87378640776699	2520	0.708127177105695	4.59522596171401e-23	3.08195026831846	1.87771376300322	0.609261538807281	2606	2520	2884	0.00122299613822161	0.000651079668170326
AT3G56410	AT3G56408	0.856740175758581	5167	0.3709332538898	5.10169088343295e-06	14.8599667938081	0.861272227004672	0.0579592295834435	5867	5167	6031	0.00287593706092667	0.000142807532250816
AT1G27920	AT1G27921	0.836563645887899	3194	0.301377025967843	0.000254453570894585	0.252649754234108	3.64077609807357	14.4103686509031	3770	3194	3818	7.91013632542605e-05	0.000953582005781448
AT4G04220	AT4G04221	0.835036057692308	2779	0.300196867346736	0.000269780656970305	5.10339659389804	0.918487722755017	0.179975768266417	3328	2779	3328	0.00183641475131272	0.000275987897462445
AT3G02910	AT3G01205	0.824935952177626	966	0.520759689478043	2.60849828833525e-11	18.5456921503334	0.433883705439561	0.0233953902568021	1120	966	1171	0.0191984390790201	0.00037052408662644
AT1G07130	AT1G07128	0.819503849443969	958	0.3277479520237	6.44653131860173e-05	1.51055134051373	1.97303913161944	1.3061715141363	959	958	1169	0.00157677592955504	0.00168780079693707
AT2G36790	AT2G36792	0.819169960474308	1658	0.577816183025467	4.16624449200909e-14	4.1683558959326	1.89264485248287	0.454050685626359	1802	1658	2024	0.00251408678886164	0.000935101211701023
AT3G03700	AT3G03702	0.796281951975213	2056	0.329951432668357	5.71429624689022e-05	0.480976340043537	0.593969416878413	1.23492439737191	2453	2056	2582	0.000233937908581487	0.000230042376792569
AT4G26790	AT4G26795	0.790448744339234	1920	0.524255169494541	1.81877247607241e-11	1.73119092220607	0.808535332389783	0.467039956147332	2181	1920	2429	0.000901661938648995	0.000332867572000734
AT2G19570	AT2G19572	0.776717557251908	1221	0.482487817797909	1.04677579480592e-09	9.65932875510793	0.928654645173105	0.0961407017730942	1339	1221	1572	0.00791099816143156	0.000590747229753884
AT5G06860	AT5G06865	0.766451612903226	1188	0.53011450434691	9.84492374983647e-12	33.6930794616833	10.0906776621025	0.299488138909294	1396	1188	1550	0.0283611779980499	0.00651011462071129
AT1G15000	AT1G15002	0.707198443579767	1454	0.4888987512008	5.81950769603365e-10	5.84149740036069	0.92977235121258	0.159166783358522	1960	1454	2056	0.00401753603876251	0.0004522239062318
AT2G33050	AT2G33051	0.699470309450795	2509	0.441181308239207	3.48682405905354e-08	6.94531771979309	0.90161813751317	0.129816687139264	3414	2509	3587	0.00276816170577644	0.000251357161280505
AT4G26490	AT4G26488	0.67012987012987	1032	0.336561802437605	3.95786393526068e-05	1.02697080189624	0.307330426442844	0.299259166741038	1284	1032	1540	0.000995126746023488	0.000199565211975873
AT2G23670	AT2G23672	0.669625246548323	679	0.427692672855499	9.94008041654277e-08	24.2367742822389	1.54579931054517	0.0637790859684639	789	679	1014	0.0356948074848879	0.00152445691375263
AT1G75300	AT1G75295	0.643773272652048	1556	0.32521138285261	7.39794666840482e-05	2.64127091210767	1.76397370422363	0.667850350426954	1736	1556	2417	0.00169747487924657	0.000729819488714783
AT1G26220	AT1G26218	0.619243421052632	753	0.498555710149765	2.34821971402425e-10	9.09363824271992	1.12771462133948	0.124011379300501	1164	753	1216	0.012076544811049	0.000927396892548914
AT3G46670	AT3G46668	0.601368383147281	1670	0.422640052166609	1.45471201900325e-07	6.70968812490153	0.599474108417337	0.0893445562980075	2643	1670	2777	0.00401777732030032	0.000215871122944666
AT3G21760	AT3G21755	0.530945648759032	1690	0.714773058463742	1.18041203232317e-23	8.78893433118942	1.86162472214859	0.211814612784421	2404	1690	3183	0.00520055285869196	0.000584864820027832
AT2G24540	AT2G24545	0.528862478777589	1246	0.304511386630605	0.0002175798918736	4.54289772513684	1.07439176005644	0.236499218133748	1314	1246	2356	0.00364598533317563	0.000456023667256554
AT1G80310	AT1G80325	0.481396019613499	1669	0.427024902664357	1.04569037770646e-07	15.0509273743475	0.833988014819289	0.0554110716287637	3187	1669	3467	0.00901793132075944	0.000240550335973259
AT1G48320	AT1G48315	0.475013150973172	903	0.374988333514188	3.94287190789877e-06	12.5787448568454	0.376244558675401	0.0299111368389548	1656	903	1901	0.0139299500075807	0.000197919283890269
AT5G18240	AT5G18245	0.444861919969942	2368	0.709157980274326	3.73112474964407e-23	2.57485723207872	0.865264027622211	0.336043496642208	2778	2368	5323	0.00108735525003324	0.000162551949581479
AT2G42370	AT2G42365	0.409074005206396	2200	0.368450796275543	5.9631724307122e-06	0.511416751497846	0.494832410383375	0.967571767905727	2665	2200	5378	0.000232462159771748	9.20104891006647e-05
AT2G21185	AT2G21187	0.374792703150912	452	0.627484905085177	5.03487066186518e-17	20.8322373490971	1.04367662682552	0.0500991136638886	633	452	1206	0.0460890206838431	0.000865403504830448
AT1G33420	AT1G33415	0.351213782302271	2691	0.538492128116289	4.00939970309091e-12	3.93452058395628	1.17973324736466	0.299841676308732	4587	2691	7662	0.00146210352432415	0.000153971971726006
AT3G52070	AT3G52072	0.285442073170732	749	0.651493541840957	1.24396332256937e-18	9.08492234494506	0.973961101514591	0.107206321037682	1968	749	2624	0.0121294023296997	0.000371174200272329
AT1G26210	AT1G26208	0.212005803409503	1169	0.832607701905559	5.30319082199866e-38	4.70276953668931	1.28706832044647	0.273683052168564	4430	1169	5514	0.00402289951812601	0.000233418266312381
AT5G10970	AT5G10965	0.178120922140061	819	0.53160321197672	8.40749565380494e-12	0.875246300730572	0.139790314984009	0.159715402244289	2822	819	4598	0.00106867680186883	3.04024173518941e-05
AT3G62090	AT3G09745	0.924955595026643	2083	0.438295631690292	4.37956473019751e-08	1.91170546376987	0.835911264910139	0.437259442289675	2083	2163	2341	0.000883821296241271	0.000357074440371695
AT1G55265	AT1G08043	0.844333748443338	678	0.463480067354217	5.5670683607477e-09	25.1228522233362	6.28754474416442	0.250271931238923	928	688	918	0.0365157735804305	0.00684917728122486
AT5G67490	AT5G67488	0.798888888888889	719	0.428716641861289	9.19479763411244e-08	14.5251925821461	0.538348921349305	0.0370631176354265	1081	800	1000	0.0181564907276826	0.000538348921349305
AT5G18260	AT5G18255	0.732859319451498	1443	0.556158042866055	5.5489183643595e-13	5.36467801505911	4.77263460680313	0.889640458086383	2495	1905	2033	0.00281610394491292	0.00234758219714861
AT3G63440	AT3G63445	0.722860378579518	2234	0.480973359247047	1.20038445213228e-09	1.50422850606212	1.08869855323624	0.723758756630876	2234	2380	3801	0.000632028784059714	0.000286424244471518
AT2G45530	AT2G09640	0.703266787658802	775	0.614491814729755	3.27392973310338e-16	11.1609163584824	5.68710686778047	0.509555549483015	1429	948	1256	0.0117731185216059	0.00452795132785069
AT1G79510	AT1G09863	0.60538021605592	1429	0.574757568478472	6.07528380858257e-14	16.7134145528471	0.668580663767969	0.0400026375013883	3292	1976	2745	0.00845820574536797	0.000243563083339879
AT3G24520	AT3G24518	0.562976802117391	1808	0.476176271027335	1.84408915726503e-09	9.20869331723948	0.380480699405384	0.0413175557375867	1808	1809	4614	0.00509048829034797	8.2462223538228e-05
AT2G45243	AT2G45245	0.450206689214581	599	0.437367969604406	4.71044564717724e-08	1.30024242970231	5.25077649134169	4.03830575852217	599	601	2060	0.0021634649412684	0.0025489206268649
AT1G68870	AT1G68872	0.288363171355499	451	0.569813023526581	1.10876272060313e-13	2.25806114444196	0.647874287969935	0.286916184517247	2677	661	2467	0.00341612881156121	0.0002626162496838
AT1G26220	AT1G26208	0.114568374022658	359	0.673624176354445	3.01690908242507e-20	9.09363824271992	1.28706832044647	0.141535025486291	359	753	5514	0.012076544811049	0.000233418266312381
AT4G09430	AT4G09432	0.0887006908847782	199	0.301891551236218	0.000248027553739571	0.433614231965804	0.529975878885259	1.22222897639359	4288	2206	2281	0.000196561301888397	0.000232343655802393
AT4G26540	AT4G26542	0.848007560245708	2692	0.569794581566339	1.11123254953062e-13	6.13013185313427	0.753008794552659	0.122837291691802	2692	3585	2764	0.00170993915010719	0.000272434440865651
AT1G30280	AT1G30282	0.765531062124248	1337	0.55210655671182	8.82366438850547e-13	3.34091135393179	0.315902156633542	0.0945556835148497	1337	2061	1432	0.00162101472776894	0.000220602064688228
AT1G74420	AT1G09453	0.566954298497923	887	0.305994821576898	0.000201917368606778	1.05771276887741	1.32268328954158	1.25051273697433	2242	2195	934	0.000481873698805198	0.0014161491322715
AT3G52610	AT3G52605	0.540044317822096	853	0.491243833426436	4.68055702848669e-10	5.45718664529066	0.5494181765339	0.100677915608407	853	2161	998	0.00252530617551627	0.000550519214963828
AT2G04850	AT2G04852	0.413517441860465	569	0.401469272320635	6.71513562667013e-07	4.83296023169491	0.80637971635175	0.166850062424154	2183	1434	1318	0.00337026515459896	0.000611820725608308
AT3G48120	AT3G48115	0.375994544214594	827	0.488316731952149	6.14117452587272e-10	1.36325488404576	7.02342041526132	5.15194957117468	827	2642	1757	0.000515993521591885	0.00399739352035363
AT2G29525	AT2G08345	0.290641967422549	455	0.613556622955689	3.73380660298902e-16	1.76234237839871	6.49124797638634	3.68330697596025	2676	2537	594	0.00069465604193879	0.0109280268962733
AT2G45380	AT2G09610	0.176674937965261	356	0.518172514126609	3.39753059131618e-11	10.9863462389848	1.25107541842413	0.113875476997504	356	3666	364	0.00299682112356377	0.00343702038028607
AT1G13450	AT1G13448	0.110397946084724	172	0.560899594372116	3.19872044341724e-13	8.20763428641691	7.59424785041585	0.925266353909533	2944	2429	687	0.0033790178206739	0.0110542181228761
AT5G01180	AT5G01175	0.100840336134454	198	0.360195361855505	9.92719698246955e-06	1.17195004187546	1.35648740911612	1.1574618035299	3729	2920	1007	0.000401352754066938	0.00134705800309446
AT4G27860	AT4G27852	0.0506493506493507	117	0.625009774763258	7.24118678574252e-17	18.98304069116	0.478446870766817	0.0252039111410439	117	2735	1885	0.0069407827024351	0.000253817968576561
AT4G21065	AT4G06980	0.0262954369682908	34	0.392380860698296	1.25449129873042e-06	0.498615399263285	1.6630019216806	3.33523979431385	34	2018	568	0.000247083944134433	0.00292782028464894
AT4G38530	AT4G38545	0.0225658169661513	54	0.440833610694407	3.5843261913903e-08	1.19899644802532	2.65554069854248	2.21480280689405	4732	2419	2367	0.0004956578950084	0.00112190143580164
AT1G64580	AT1G64572	0.00435097897026831	6	0.609214614473134	6.83474305150851e-16	1.70045055985525	4.13969142756373	2.43446738487717	2752	1973	785	0.000861860395263685	0.0052734922644124
AT4G26510	AT4G26488	0.00146056475170399	6	0.486391163372689	7.33233031626139e-10	7.71752164382896	0.307330426442844	0.0398224249475982	6	6676	1540	0.00115600983280841	0.000199565211975873
AT1G05560	AT1G05562	1	2136	0.745141537778698	1.39658194375056e-26	4.75507662583663	2.64858542949559	0.55700162960667	2136	2136	2136	0.00222615946902464	0.00123997445201104
AT3G21780	AT3G21781	1	1616	0.703996890042339	1.04927379091949e-22	6.5092659523373	1.01723645993037	0.156275141833022	1616	1616	1616	0.00402801110911962	0.000629478007382655
AT1G17230	AT1G17232	0.998011489173663	4517	0.70084473283982	1.95173156682516e-22	2.11894487739724	0.510798783698142	0.241062799295454	4517	4492	4517	0.000471715244300365	0.000113083635974793
AT1G23050	AT1G23052	0.99697519661222	824	0.581480579593717	2.63767635228202e-14	1.86419425374064	3.15915006323046	1.69464639046677	829	825	828	0.0022596293984735	0.00381539862708993
AT1G78270	AT1G78265	0.996236559139785	1853	0.525829206933254	1.54407883404283e-11	5.17256884396304	3.96908883775489	0.767334173306801	1867	1855	1865	0.00278844681615258	0.00212819776823319
