divanti_lncRNA,mRNA
AT1G04087,AT1G02130
AT1G04257,AT1G04380
AT1G04287,AT1G04750
AT1G04447,AT1G06170
AT1G04563,AT1G07120
AT1G04667,AT1G08820
AT1G04693,AT1G09245
AT1G04807,AT1G10630
AT1G04963,AT1G12600
AT1G05117,AT1G14688
AT1G05197,AT1G15750
AT1G05223,AT1G16225
AT1G05307,AT1G17400
AT1G05387,AT1G18220
AT1G05527,AT1G20070
AT1G05663,AT1G21390
AT1G05683,AT1G21650
AT1G05683,AT1G21651
AT1G05717,AT1G22130
AT1G05823,AT1G23610
AT1G05903,AT1G24430
AT1G06027,AT1G26815
AT1G06327,AT1G30460
AT1G06437,AT1G31380
AT1G06617,AT1G32780
AT1G06723,AT1G34010
AT1G06817,AT1G35186
AT1G06943,AT1G36020
AT1G06947,AT1G36070
AT1G06967,AT1G36272
AT1G07183,AT1G43667
AT1G07233,AT1G43886
AT1G07237,AT1G44080
AT1G07293,AT1G45163
AT1G07767,AT1G51810
AT1G08207,AT1G58235
AT1G08313,AT1G60360
AT1G08653,AT1G64140
AT1G08683,AT1G64480
AT1G08743,AT1G65200
AT1G08863,AT1G66910
AT1G08883,AT1G67040
AT1G09067,AT1G69540
AT1G09427,AT1G74200
AT1G09833,AT1G78860
AT1G09847,AT1G79120
AT1G09983,AT1G80590
AT1G04143,AT1G02690
AT1G04167,AT1G03160
AT1G04243,AT1G04130
AT1G04763,AT1G10110
AT1G05193,AT1G15740
AT1G05283,AT1G17050
AT1G05643,AT1G21240
AT1G05793,AT1G23147
AT1G05983,AT1G26130
AT1G06013,AT1G26730
AT1G06043,AT1G27130
AT1G06063,AT1G27280
AT1G06073,AT1G27285
AT1G06123,AT1G28100
AT1G06177,AT1G28815
AT1G28715,AT1G28760
AT1G06417,AT1G31175
AT1G06537,AT1G32360
AT1G06637,AT1G32960
AT1G06907,AT1G35540
AT1G07187,AT1G43680
AT1G07837,AT1G52660
AT1G07907,AT1G53550
AT1G07947,AT1G54180
AT1G08013,AT1G54955
AT1G08033,AT1G55175
AT1G08193,AT1G58040
AT1G08363,AT1G61240
AT1G08437,AT1G61820
AT1G08777,AT1G65800
AT1G08953,AT1G67720
AT1G09077,AT1G69610
AT1G09137,AT1G70180
AT1G09183,AT1G70430
AT1G09187,AT1G70505
AT1G09343,AT1G72920
AT1G09407,AT1G73710
AT1G09477,AT1G74540
AT1G09737,AT1G77630
AT2G04405,AT2G02910
AT2G04505,AT2G03240
AT2G04885,AT2G05290
AT2G05155,AT2G07621
AT2G06375,AT2G15180
AT2G06625,AT2G16430
AT2G07425,AT2G21510
AT2G07900,AT2G23330
AT2G08075,AT2G24880
AT2G08320,AT2G29120
AT2G08495,AT2G31920
AT2G08570,AT2G33330
AT2G08775,AT2G35880
AT2G09165,AT2G40711
AT2G09480,AT2G43490
AT2G09575,AT2G44890
AT2G09755,AT2G46700
AT2G03905,AT2G01220
AT2G04485,AT2G03150
AT2G05205,AT2G07689
AT2G05495,AT2G10260
AT2G06065,AT2G13770
AT2G06075,AT2G13940
AT2G06515,AT2G15900
AT2G06805,AT2G16990
AT2G06975,AT2G17525
AT2G07055,AT2G18220
AT2G07855,AT2G23000
AT2G23040,AT2G23050
AT2G08040,AT2G24510
AT2G08505,AT2G32270
AT2G08540,AT2G32788
AT2G08845,AT2G36960
AT2G09210,AT2G41020
AT2G09235,AT2G41140
AT2G09280,AT2G41460
AT2G09290,AT2G41660
AT2G09545,AT2G44800
AT2G09555,AT2G44850
AT2G09875,AT2G47310
AT3G01385,AT3G04030
AT3G02145,AT3G09270
AT3G02605,AT3G12920
AT3G02835,AT3G14030
AT3G02995,AT3G14770
AT3G03055,AT3G15220
AT3G03925,AT3G19895
