id1	id2	promoterdis	length1	length2	overlap	overlapc
AT3G43500	AT3G43503	1	462	407	1	A
AT3G58520	AT3G58530	1	1779	2822	1	A
AT4G19780	AT4G19790	4	921	843	4	A
AT5G40090	AT5G40100	6	1815	3846	6	A
AT2G03821	AT2G03822	6	904	174	6	A
AT1G07950	AT1G07960	8	1341	1933	8	A
AT1G06660	AT1G06670	9	3109	7246	9	A
AT5G43211	AT5G43230	10	165	4058	10	A
AT4G31150	AT4G31160	12	2048	7485	12	A
AT2G37680	AT2G37690	14	2373	4894	14	A
AT3G31993	AT3G31996	14	1113	303	14	A
AT4G31280	AT4G31290	14	205	2460	14	A
AT3G45640	AT3G45645	14	1921	192	14	A
AT1G80950	AT1G80960	16	2991	3925	16	A
AT4G38150	AT4G38160	16	1713	2065	16	A
AT4G21860	AT4G21865	18	2080	1578	18	A
AT3G21280	AT3G21290	19	4196	6830	19	A
AT3G24495	AT3G24500	21	5946	1417	21	A
AT1G28530	AT1G28540	21	3654	1787	21	A
AT3G10850	AT3G10860	23	1995	1377	23	A
AT1G75690	AT1G75700	25	1791	1618	25	A
AT1G74390	AT1G74400	28	2418	1465	28	A
AT5G14900	AT5G14910	28	906	2100	28	A
AT3G09660	AT3G09670	30	4999	2858	30	A
AT3G45880	AT3G45890	31	2696	2790	31	A
AT2G25050	AT2G25055	33	6876	242	33	A
AT3G43358	AT3G43359	35	3168	1053	35	A
AT5G10050	AT5G10030	42	1503	6981	42	A
AT5G27550	AT5G27560	46	4105	2962	46	A
AT4G12010	AT4G12020	49	4581	8171	49	A
AT3G28956	AT3G28958	51	2357	827	51	A
AT5G06260	AT5G06265	51	2489	3127	51	A
AT2G42120	AT2G42130	52	3105	1873	52	A
AT1G68862	AT1G68870	53	2455	661	53	A
AT4G32680	AT4G32690	57	1812	1995	57	A
AT5G23908	AT5G23910	59	210	4833	59	A
AT3G11620	AT3G11630	64	2889	1927	64	A
AT4G35519	AT4G35520	66	123	6224	66	A
AT1G70949	AT1G70950	67	264	2811	67	A
AT3G06019	AT3G06020	67	111	1149	67	A
AT3G07525	AT3G07530	69	1653	3966	69	A
AT5G46085	AT5G46090	82	252	645	82	A
AT2G18720	AT2G18721	86	2301	108	86	A
AT3G13674	AT3G13677	92	1360	1206	92	A
AT3G23860	AT3G23870	93	2482	2758	93	A
AT2G40770	AT2G40780	101	8338	1440	101	A
AT2G21595	AT2G21600	102	747	1931	102	A
AT4G19095	AT4G19100	106	633	1037	106	A
AT5G27440	AT5G27450	113	1044	2862	113	A
AT5G14550	AT5G14560	114	2929	123	114	A
AT1G24545	AT1G24560	116	1366	3428	116	A
AT5G55810	AT5G55820	118	2434	7849	118	A
AT1G61440	AT1G61450	119	3978	1118	119	A
AT3G22560	AT3G22565	133	928	1922	133	A
AT4G20290	AT4G20300	145	426	3722	145	A
AT5G18748	AT5G18750	145	210	3353	145	A
AT4G03620	AT4G03625	149	1964	195	149	A
AT2G07692	AT2G07693	152	839	1421	152	A
AT3G60328	AT3G60330	152	159	5346	152	A
AT5G37415	AT5G37420	158	1255	1928	158	A
AT2G31141	AT2G31150	159	809	2204	159	A
AT5G51110	AT5G51120	161	1988	2136	161	A
AT5G13840	AT5G13850	162	2959	1513	162	A
AT1G63270	AT1G63280	167	1957	363	167	A
AT4G36791	AT4G36795	173	207	258	173	A
AT2G23118	AT2G23120	183	144	793	143	B
AT2G39518	AT2G39520	183	1178	809	183	A
AT1G03320	AT1G03325	189	779	126	125	B
AT1G28260	AT1G28265	195	3576	276	195	A
AT2G31018	AT2G31020	201	120	3599	119	B
AT3G48298	AT3G48300	202	126	1808	125	B
AT1G65349	AT1G65350	203	372	4758	203	A
AT1G07901	AT1G07902	205	153	1206	152	B
AT2G14810	AT2G14820	214	1006	3273	214	A
AT3G15604	AT3G15605	221	165	3649	164	B
AT2G19670	AT2G19680	228	2040	2010	228	A
AT4G30097	AT4G30100	229	144	6625	143	B
AT3G13070	AT3G13075	234	4090	282	234	A
AT5G45010	AT5G45020	236	1486	2629	236	A
AT1G70209	AT1G70210	240	144	3452	143	B
AT5G05635	AT5G05640	242	255	1247	242	A
AT2G36850	AT2G36854	245	15294	186	185	B
AT1G74929	AT1G74930	247	102	1208	101	B
AT5G15740	AT5G15745	251	3168	303	251	A
AT5G04238	AT5G04240	258	195	5840	194	B
AT1G48160	AT1G48170	261	2527	1484	261	A
AT3G09540	AT3G09550	261	2611	3265	261	A
AT5G62570	AT5G62573	262	3367	246	245	B
AT5G63470	AT5G63480	267	1286	1803	267	A
AT5G41850	AT5G41860	269	1523	768	269	A
AT4G36160	AT4G36170	269	3497	5963	269	A
AT1G06040	AT1G06045	277	1300	344	277	A
AT3G04710	AT3G04690	277	4503	3889	277	A
AT3G04690	AT3G04700	277	3889	1157	277	A
AT2G29590	AT2G29600	282	975	2146	282	A
AT5G25640	AT5G25750	289	1659	260	259	B
AT2G03620	AT2G03630	290	3171	1188	290	A
AT4G24026	AT4G24030	290	511	387	290	A
AT4G12490	AT4G12495	290	786	282	281	B
AT2G02497	AT2G02498	295	1136	445	295	A
AT5G41150	AT5G41160	298	4654	1318	298	A
AT3G23122	AT3G23123	298	328	246	245	B
AT2G45320	AT2G45330	299	2082	2164	299	A
AT4G15020	AT4G15025	301	3234	282	281	B
AT1G05720	AT1G05730	303	1385	2033	303	A
AT3G02250	AT3G02255	308	3305	186	185	B
AT2G38570	AT2G38580	322	2195	4040	322	A
AT1G27640	AT1G27650	324	444	1750	324	A
AT5G50562	AT5G50565	329	174	2066	173	B
AT5G47960	AT5G47970	330	1147	3670	330	A
AT2G18270	AT2G18280	332	249	2249	248	B
AT2G33685	AT2G33690	341	381	490	341	A
AT3G14980	AT3G14981	346	5563	219	218	B
AT1G70330	AT1G70335	349	1583	342	341	B
AT2G16020	AT2G16018	349	231	1484	230	B
AT1G16022	AT1G16025	351	540	455	351	A
AT2G10965	AT2G10955	361	1278	444	361	A
AT2G31900	AT2G31910	362	10100	4526	362	A
AT3G24570	AT3G24575	368	2108	363	362	B
AT4G33300	AT4G33310	370	6071	261	260	B
AT4G35025	AT4G35030	372	222	2830	221	B
AT1G61563	AT1G61565	373	528	2521	373	A
AT5G66330	AT5G66335	380	1506	435	380	A
AT2G27505	AT2G27507	383	1333	256	255	B
AT2G32890	AT2G32900	387	1400	4021	387	A
AT1G76460	AT1G76465	388	3000	383	382	B
AT3G24516	AT3G24514	394	189	1568	188	B
AT5G04470	AT5G04475	396	792	338	337	B
AT1G21770	AT1G21780	397	516	2133	397	A
AT3G12833	AT3G12835	400	1122	105	104	B
AT3G61530	AT3G61540	404	2386	2526	404	A
AT1G29840	AT1G29850	406	2135	2623	406	A
AT1G65540	AT1G65541	407	4218	340	339	B
AT1G72750	AT1G72755	408	1071	321	320	B
AT1G34315	AT1G34317	409	2416	444	409	A
AT3G49080	AT3G49100	409	2525	2185	409	A
AT2G18680	AT2G18685	413	1166	204	203	B
AT5G67380	AT5G67385	416	3114	3768	416	A
AT1G20923	AT1G20925	417	661	2608	417	A
AT1G55330	AT1G55335	419	419	364	362	A
AT4G21510	AT4G21515	421	1581	445	421	A
AT1G55670	AT1G55673	423	597	479	423	A
AT5G05280	AT5G05285	428	945	205	204	B
ATMG00870	ATMG00880	428	555	564	428	A
AT5G64395	AT5G64400	441	96	2975	95	B
AT1G62510	AT1G62515	444	790	694	444	A
AT1G08000	AT1G08005	445	2487	444	443	B
AT4G38820	AT4G38825	450	433	484	432	B
AT3G10525	AT3G10527	455	826	375	374	B
AT5G01015	AT5G01017	457	504	255	254	B
AT2G18969	AT2G18970	458	575	640	458	A
AT4G35480	AT4G35485	458	871	496	458	A
AT1G70470	AT1G70475	462	765	1572	462	A
AT2G03567	AT2G03570	463	1083	429	428	B
AT1G21160	AT1G21170	465	5365	6814	465	A
AT1G67855	AT1G67856	472	621	1287	472	A
AT2G46567	AT2G46570	479	111	2798	110	B
AT5G17340	AT5G17345	484	645	824	484	A
AT5G15580	AT5G15581	488	3857	312	311	B
AT1G24388	AT1G24390	493	596	795	493	A
AT3G54910	AT3G54920	495	2842	3430	495	A
AT4G19480	AT4G19485	496	537	513	496	A
AT1G68723	AT1G68725	533	566	981	533	A
AT2G16018	AT2G16019	533	1484	111	110	B
AT5G26980	AT5G26990	536	2960	3409	536	A
AT5G11970	AT5G11975	547	976	395	394	B
AT1G15825	AT1G15830	548	536	2558	535	B
AT5G25990	AT5G25995	548	1273	296	295	B
AT1G14450	AT1G14453	549	1388	856	549	A
AT4G12380	AT4G12382	551	1169	1060	551	A
AT4G00880	AT4G00883	564	824	516	515	B
AT2G36026	AT2G36030	575	851	213	212	B
AT5G05653	AT5G05657	578	1198	582	578	A
