V1,V2
AT1G02100,AT1G02110
AT1G04625,AT1G04630
AT1G05810,AT1G05820
AT1G07590,AT1G07600
AT1G07730,AT1G07740
AT1G07860,AT1G07870
AT1G11400,AT1G11410
AT1G12280,AT1G12290
AT1G18486,AT1G18490
AT1G19210,AT1G19220
AT1G29040,AT1G29041
AT1G29179,AT1G29180
AT1G29965,AT1G29970
AT1G31460,AT1G31470
AT1G32940,AT1G32950
AT1G49030,AT1G49032
AT1G58520,AT1G58525
AT1G60995,AT1G61000
AT1G63055,AT1G63057
AT1G64250,AT1G64253
AT1G65160,AT1G65165
AT1G67400,AT1G67410
AT1G74340,AT1G74350
AT1G78780,AT1G78790
AT2G07669,AT2G07678
AT2G18670,AT2G18680
AT2G21200,AT2G21210
AT2G23987,AT2G23980
AT2G31590,AT2G31600
AT2G32050,AT2G32060
AT2G40710,AT2G40711
AT2G41060,AT2G41070
AT3G05350,AT3G05360
AT3G06590,AT3G06600
AT3G08790,AT3G08800
AT3G09405,AT3G09410
AT3G11040,AT3G11050
AT3G16610,AT3G16620
AT3G17626,AT3G17630
AT3G19595,AT3G19600
AT3G20720,AT3G20730
AT3G23325,AT3G23330
AT3G26420,AT3G26430
AT3G26960,AT3G26980
AT3G44695,AT3G44700
AT3G45440,AT3G45443
AT3G59520,AT3G59530
AT3G62340,AT3G62350
AT4G00280,AT4G00290
AT4G00690,AT4G00695
AT4G02140,AT4G02150
AT4G03230,AT4G03240
AT4G14104,AT4G14105
AT4G15230,AT4G15233
AT4G16960,AT4G16970
AT4G21400,AT4G21410
AT4G23895,AT4G23900
AT4G24810,AT4G24820
AT4G25270,AT4G25280
AT4G25845,AT4G25850
AT4G26510,AT4G26520
AT4G28706,AT4G28710
AT4G31070,AT4G31073
AT4G38280,AT4G38290
AT4G38310,AT4G38320
AT5G02060,AT5G02065
AT5G02680,AT5G02690
AT5G05950,AT5G05960
AT5G06980,AT5G06990
AT5G08600,AT5G08610
AT5G11630,AT5G11640
AT5G13890,AT5G13900
AT5G17570,AT5G17580
AT5G26865,AT5G26880
AT5G27400,AT5G27410
AT5G27750,AT5G27760
AT5G47660,AT5G47670
AT5G50530,AT5G50540
AT5G55380,AT5G55390
AT5G57880,AT5G57887
AT5G65770,AT5G65780
ATCG00270,ATCG00280
ATCG00800,ATCG00810
ATMG00080,ATMG00090
ATMG00490,ATMG00500
ATMG01000,ATMG01010
AT1G01770,AT1G01780
AT1G03200,AT1G03210
AT1G04940,AT1G04945
AT1G04985,AT1G04990
AT1G10930,AT1G10940
AT1G13040,AT1G13050
AT1G15120,AT1G15125
AT1G16120,AT1G16130
AT1G16800,AT1G16780
AT1G18200,AT1G18210
AT1G19394,AT1G19396
AT1G29760,AT1G29770
AT1G35110,AT1G35112
AT1G47845,AT1G47860
AT1G48770,AT1G48780
AT1G49160,AT1G49140
AT1G51405,AT1G51410
AT1G51660,AT1G51670
AT1G53345,AT1G53350
AT1G54340,AT1G54350
AT1G55800,AT1G55803
AT1G61360,AT1G61370
AT1G62890,AT1G62880
AT1G64010,AT1G64020
AT1G66340,AT1G66345
AT1G69280,AT1G69290
AT1G70790,AT1G70800
AT1G73300,AT1G73310
AT1G76965,AT1G76970
AT1G77310,AT1G77320
AT1G78700,AT1G78710
AT2G03530,AT2G03540
AT2G05280,AT2G05290
AT2G20625,AT2G20630
AT2G20810,AT2G20815
AT2G28100,AT2G28105
AT2G30890,AT2G30900
AT2G33670,AT2G33680
AT2G35840,AT2G35850
AT2G43190,AT2G43200
AT2G44650,AT2G44660
AT2G47720,AT2G47730
AT3G01090,AT3G01100
AT3G05340,AT3G05345
AT3G10450,AT3G10455
AT3G11210,AT3G11220
AT3G12587,AT3G12590
AT3G15140,AT3G15150
AT3G16020,AT3G16030
AT3G24460,AT3G24463
AT3G24675,AT3G24680
AT3G27050,AT3G27060
AT3G27360,AT3G27380
AT3G31440,AT3G31442
AT3G49055,AT3G49060
AT3G51290,AT3G51300
AT3G52700,AT3G52705
AT3G53130,AT3G53140
AT3G53560,AT3G53570
AT3G57586,AT3G57587
AT3G58460,AT3G58470
AT3G62500,AT3G62510
AT3G63530,AT3G63540
AT4G00695,AT4G00700
AT4G02740,AT4G02750
AT4G03505,AT4G03510
AT4G08874,AT4G08875
AT4G09430,AT4G09435
AT4G11543,AT4G11547
AT4G13190,AT4G13195
AT4G16850,AT4G16855
AT4G18130,AT4G18140
AT4G20350,AT4G20360
AT4G20460,AT4G20470
AT4G21320,AT4G21323
AT4G22410,AT4G22415
AT4G32050,AT4G32060
AT4G33490,AT4G33495
AT4G34530,AT4G34540
AT4G38070,AT4G38080
AT5G01880,AT5G01881
AT5G06430,AT5G06440
AT5G06750,AT5G06755
AT5G09420,AT5G09430
AT5G09680,AT5G09690
AT5G14280,AT5G14270
AT5G44572,AT5G44574
AT5G48440,AT5G48450
AT5G53740,AT5G53742
AT5G60300,AT5G60310
AT5G61900,AT5G61910
AT5G64140,AT5G64150
AT5G64400,AT5G64390
AT5G65225,AT5G65230
ATMG00516,ATMG00520
ATMG01320,ATMG01330
