V1,V2
AT1G28715,AT1G28820
AT1G28715,AT1G28830
AT1G28715,AT1G28840
AT1G28715,AT1G28850
AT1G28715,AT1G28860
AT1G28715,AT1G28870
AT1G28715,AT1G28880
AT1G28715,AT1G28890
AT1G28715,AT1G28900
AT1G28715,AT1G28910
AT1G28715,AT1G28920
AT1G05693,AT1G05697
AT1G09283,AT1G09277
AT1G08713,AT1G64563
AT1G08827,AT1G08823
AT1G08927,AT1G08933
AT1G09833,AT1G78865
AT2G07985,AT2G07975
AT2G07595,AT2G22482
AT3G02395,AT3G11415
AT3G02405,AT3G11415
AT3G03685,AT3G03695
AT3G03055,AT3G03065
AT3G04515,AT3G04535
AT4G09185,AT4G09195
AT5G01155,AT5G06165
AT5G05275,AT5G05295
AT2G06835,AT2G06855
AT2G06835,AT2G06865
AT4G06235,AT4G06240
AT4G06235,AT4G06245
AT4G06235,AT4G06250
AT5G01155,AT5G01165
AT5G01155,AT5G01195
AT5G08855,AT5G08850
AT5G08855,AT5G08860
AT5G08855,AT5G08865
AT1G06867,AT1G06873
AT1G05663,AT1G05673
AT4G04195,AT4G04185
AT5G04445,AT5G04455
AT1G05987,AT1G26208
AT1G09427,AT1G74205
AT4G06160,AT4G13918
AT1G18415,AT1G18430
AT1G06227,AT1G06233
AT1G06227,AT1G06237
AT1G06227,AT1G06243
AT4G06695,AT4G06705
AT5G02905,AT5G02915
