id1	id2	overlapp	overlap	cor	p.value	mean1	mean2	ratio
AT1G07130	AT1G07128	0.819503849443969	958	0.3277479520237	6.44653131860173e-05	1.51055134051373	1.97303913161944	1.3061715141363
AT1G15000	AT1G15002	0.707198443579767	1454	0.4888987512008	5.81950769603365e-10	5.84149740036069	0.92977235121258	0.159166783358522
AT1G26210	AT1G26208	0.212005803409503	1169	0.832607701905559	5.30319082199866e-38	4.70276953668931	1.28706832044647	0.273683052168564
AT1G26220	AT1G26218	0.619243421052632	753	0.498555710149765	2.34821971402425e-10	9.09363824271992	1.12771462133948	0.124011379300501
AT1G27920	AT1G27921	0.836563645887899	3194	0.301377025967843	0.000254453570894585	0.252649754234108	3.64077609807357	14.4103686509031
AT1G33420	AT1G33415	0.351213782302271	2691	0.538492128116289	4.00939970309091e-12	3.93452058395628	1.17973324736466	0.299841676308732
AT1G48320	AT1G48315	0.475013150973172	903	0.374988333514188	3.94287190789877e-06	12.5787448568454	0.376244558675401	0.0299111368389548
AT1G67790	AT1G67792	0.889739130434783	2558	0.577444016867786	4.36283967244487e-14	0.172195574904229	2.32138714973808	13.48110804258
AT1G75300	AT1G75295	0.643773272652048	1556	0.32521138285261	7.39794666840482e-05	2.64127091210767	1.76397370422363	0.667850350426954
AT1G76880	AT1G76878	0.985781990521327	2912	0.516640979224062	3.96873061851584e-11	9.05745850126313	0.148415120028141	0.016385956392452
AT1G80310	AT1G80325	0.481396019613499	1669	0.427024902664357	1.04569037770646e-07	15.0509273743475	0.833988014819289	0.0554110716287637
AT2G19570	AT2G19572	0.776717557251908	1221	0.482487817797909	1.04677579480592e-09	9.65932875510793	0.928654645173105	0.0961407017730942
AT2G20500	AT2G07305	0.956566701137539	925	0.562640312700701	2.60731467410959e-13	2.42904122685379	1.1456897205111	0.471663349244613
AT2G21185	AT2G21187	0.374792703150912	452	0.627484905085177	5.03487066186518e-17	20.8322373490971	1.04367662682552	0.0500991136638886
AT2G23670	AT2G23672	0.669625246548323	679	0.427692672855499	9.94008041654277e-08	24.2367742822389	1.54579931054517	0.0637790859684639
AT2G24540	AT2G24545	0.528862478777589	1246	0.304511386630605	0.0002175798918736	4.54289772513684	1.07439176005644	0.236499218133748
AT2G33050	AT2G33051	0.699470309450795	2509	0.441181308239207	3.48682405905354e-08	6.94531771979309	0.90161813751317	0.129816687139264
AT2G36790	AT2G36792	0.819169960474308	1658	0.577816183025467	4.16624449200909e-14	4.1683558959326	1.89264485248287	0.454050685626359
AT2G42370	AT2G42365	0.409074005206396	2200	0.368450796275543	5.9631724307122e-06	0.511416751497846	0.494832410383375	0.967571767905727
AT2G46570	AT2G46572	0.941453566621803	2798	0.512310096990773	6.13319449470098e-11	0.376989388107115	0.621995013021849	1.6499005877723
AT3G02910	AT3G01205	0.824935952177626	966	0.520759689478043	2.60849828833525e-11	18.5456921503334	0.433883705439561	0.0233953902568021
AT3G03700	AT3G03702	0.796281951975213	2056	0.329951432668357	5.71429624689022e-05	0.480976340043537	0.593969416878413	1.23492439737191
AT3G21760	AT3G21755	0.530945648759032	1690	0.714773058463742	1.18041203232317e-23	8.78893433118942	1.86162472214859	0.211814612784421
AT3G46670	AT3G46668	0.601368383147281	1670	0.422640052166609	1.45471201900325e-07	6.70968812490153	0.599474108417337	0.0893445562980075
AT3G52070	AT3G52072	0.285442073170732	749	0.651493541840957	1.24396332256937e-18	9.08492234494506	0.973961101514591	0.107206321037682
AT3G56410	AT3G56408	0.856740175758581	5167	0.3709332538898	5.10169088343295e-06	14.8599667938081	0.861272227004672	0.0579592295834435
AT4G04220	AT4G04221	0.835036057692308	2779	0.300196867346736	0.000269780656970305	5.10339659389804	0.918487722755017	0.179975768266417
AT4G26490	AT4G26488	0.67012987012987	1032	0.336561802437605	3.95786393526068e-05	1.02697080189624	0.307330426442844	0.299259166741038
AT4G26790	AT4G26795	0.790448744339234	1920	0.524255169494541	1.81877247607241e-11	1.73119092220607	0.808535332389783	0.467039956147332
AT4G38250	AT4G09695	0.959805115712546	1576	0.401080510396667	6.89970353620062e-07	39.1526475329482	1.27883882595674	0.032662895271145
AT5G01210	AT5G01215	0.992749581706637	1780	0.414741111421052	2.60601181191052e-07	5.80244184490212	0.407536228499846	0.0702352973787918
AT5G06860	AT5G06865	0.766451612903226	1188	0.53011450434691	9.84492374983647e-12	33.6930794616833	10.0906776621025	0.299488138909294
AT5G10140	AT5G01675	0.973836276083467	6067	0.544939696612588	1.97432171815263e-12	2.70186750907204	0.21782568923626	0.0806204184716197
AT5G10970	AT5G10965	0.178120922140061	819	0.53160321197672	8.40749565380494e-12	0.875246300730572	0.139790314984009	0.159715402244289
AT5G18240	AT5G18245	0.444861919969942	2368	0.709157980274326	3.73112474964407e-23	2.57485723207872	0.865264027622211	0.336043496642208
AT5G66560	AT5G66558	0.87378640776699	2520	0.708127177105695	4.59522596171401e-23	3.08195026831846	1.87771376300322	0.609261538807281
