V1,V2
AT1G01040,AT1G01050
AT1G01160,AT1G01170
AT1G01380,AT1G01390
AT1G01730,AT1G01740
AT1G02420,AT1G02430
AT1G03050,AT1G03055
AT1G04130,AT1G04140
AT1G04900,AT1G04910
AT1G05450,AT1G05460
AT1G05720,AT1G05730
AT1G05750,AT1G05760
AT1G05835,AT1G05840
AT1G06040,AT1G06045
AT1G06320,AT1G06330
AT1G06450,AT1G06460
AT1G06530,AT1G06540
AT1G06560,AT1G06570
AT1G06660,AT1G06670
AT1G07476,AT1G07480
AT1G07901,AT1G07902
AT1G07950,AT1G07960
AT1G08000,AT1G08005
AT1G08120,AT1G08125
AT1G08250,AT1G08260
AT1G08310,AT1G08315
AT1G08340,AT1G08350
AT1G08600,AT1G08610
AT1G09850,AT1G09860
AT1G10070,AT1G10090
AT1G11090,AT1G11100
AT1G11770,AT1G11780
AT1G11790,AT1G11800
AT1G11890,AT1G11900
AT1G12210,AT1G12211
AT1G12310,AT1G12320
AT1G12810,AT1G12820
AT1G13800,AT1G13805
AT1G14150,AT1G14160
AT1G14350,AT1G14360
AT1G14755,AT1G14760
AT1G15015,AT1G15020
AT1G15825,AT1G15830
AT1G16270,AT1G16280
AT1G16790,AT1G16800
AT1G17060,AT1G17065
AT1G17600,AT1G17610
AT1G17860,AT1G17870
AT1G18180,AT1G18190
AT1G18630,AT1G18640
AT1G18880,AT1G18890
AT1G18975,AT1G18980
AT1G19850,AT1G19860
AT1G20065,AT1G20070
AT1G20540,AT1G20550
AT1G20923,AT1G20925
AT1G21270,AT1G21280
AT1G21770,AT1G21780
AT1G21880,AT1G21890
AT1G22050,AT1G22060
AT1G22250,AT1G22260
AT1G23790,AT1G23800
AT1G23880,AT1G23890
AT1G23980,AT1G23985
AT1G24388,AT1G24390
AT1G24470,AT1G24475
AT1G24545,AT1G24560
AT1G24735,AT1G24764
AT1G24800,AT1G24807
AT1G25150,AT1G25155
AT1G25380,AT1G25390
AT1G26090,AT1G26100
AT1G26290,AT1G26300
AT1G26530,AT1G26540
AT1G26700,AT1G26710
AT1G26880,AT1G26890
AT1G27060,AT1G27070
AT1G27710,AT1G27720
AT1G27880,AT1G27890
AT1G28000,AT1G28005
AT1G29200,AT1G29220
AT1G29380,AT1G29390
AT1G29535,AT1G29540
AT1G29830,AT1G29840
AT1G30160,AT1G30170
AT1G31220,AT1G31230
AT1G31910,AT1G31920
AT1G32600,AT1G32610
AT1G32740,AT1G32750
AT1G33020,AT1G33030
AT1G34315,AT1G34317
AT1G34630,AT1G34640
AT1G34770,AT1G34780
AT1G43900,AT1G43910
AT1G47250,AT1G47260
AT1G47330,AT1G47340
AT1G47740,AT1G47750
AT1G48160,AT1G48170
AT1G48285,AT1G48290
AT1G48560,AT1G48570
AT1G48880,AT1G48890
AT1G49120,AT1G49130
AT1G49225,AT1G49230
AT1G49720,AT1G49730
AT1G49960,AT1G49970
AT1G50520,AT1G50530
AT1G50810,AT1G50820
AT1G50900,AT1G50910
AT1G51960,AT1G51965
AT1G52010,AT1G52020
AT1G52230,AT1G52240
AT1G52330,AT1G52340
AT1G53190,AT1G53200
AT1G53480,AT1G53490
AT1G53550,AT1G53560
AT1G53970,AT1G53980
AT1G54360,AT1G54370
AT1G55365,AT1G55370
AT1G55670,AT1G55673
AT1G55940,AT1G55945
AT1G56105,AT1G56110
AT1G56310,AT1G56320
AT1G56700,AT1G56710
AT1G59750,AT1G59760
AT1G60220,AT1G60230
AT1G60420,AT1G60430
AT1G61563,AT1G61565
AT1G62170,AT1G62180
AT1G62510,AT1G62515
AT1G62740,AT1G62750
AT1G63270,AT1G63280
AT1G63380,AT1G63390
AT1G63615,AT1G63630
AT1G64790,AT1G64795
AT1G64960,AT1G64970
AT1G65349,AT1G65350
AT1G65540,AT1G65541
AT1G67430,AT1G67440
AT1G67455,AT1G67460
AT1G67855,AT1G67856
AT1G68510,AT1G68520
AT1G68585,AT1G68590
AT1G68723,AT1G68725
AT1G68862,AT1G68870
AT1G68937,AT1G68940
